matrix_representation	reference_principal_component	reference_component_number	bootstrap_replicates	median_absolute_loading_correlation	loading_correlation_2_5_percentile	loading_correlation_97_5_percentile	proportion_loading_correlation_ge_0_80	proportion_loading_correlation_ge_0_90	median_absolute_variance_ratio_difference	matched_bootstrap_component_mode	unique_matched_bootstrap_components
raw_log2_change	PC1	1	300	0.9710284791126544	0.9208138686750676	0.9857682970470616	1.0	0.9866666666666668	0.015972806537074	1	1
raw_log2_change	PC2	2	300	0.8837827021704326	0.6703489299116894	0.9520156103939724	0.85	0.37	0.0100781709742291	2	2
raw_log2_change	PC3	3	300	0.8259152534863325	0.5489388544947301	0.9345827864318516	0.6033333333333334	0.13	0.0074275683398696	3	4
raw_log2_change	PC4	4	300	0.6780077929204302	0.2261125335597952	0.8808401837428871	0.1866666666666666	0.01	0.0099551976312829	4	4
raw_log2_change	PC5	5	300	0.3995367097999959	0.0379876870498969	0.7619398124171098	0.0066666666666666	0.0	0.0124804876909344	5	3
bpv_calibrated_log2_change	PC1	1	300	0.9481522543484496	0.651309252262407	0.979593157671928	0.9366666666666666	0.8233333333333334	0.015855505932517	1	2
bpv_calibrated_log2_change	PC2	2	300	0.8853810459980492	0.5595413909041677	0.962674825315824	0.8	0.4266666666666667	0.0110599919032924	2	5
bpv_calibrated_log2_change	PC3	3	300	0.78175261829845	0.4654224470725424	0.9402560318811924	0.4466666666666666	0.1466666666666666	0.0105597329425129	3	4
bpv_calibrated_log2_change	PC4	4	300	0.7317215085585762	0.2930083418777	0.919635239049058	0.3133333333333333	0.0666666666666666	0.0098932020945366	4	4
bpv_calibrated_log2_change	PC5	5	300	0.520736172294206	0.0390268941031993	0.841056781648641	0.0466666666666666	0.0	0.0104527065405747	5	3
