matrix_representation	principal_component	component_number	feature_column	loading	absolute_loading	squared_loading	contribution_percent	antigen_target	assay_feature	feature_family	absolute_loading_rank
bpv_calibrated_log2_change	PC1	1	HPV52__IgG	0.2152769979299281	0.2152769979299281	0.0463441858377222	4.634418583772229	HPV52	IgG	binding_antibody_abundance	1
bpv_calibrated_log2_change	PC1	1	HPV52__FcgR3A	0.1961256260793391	0.1961256260793391	0.0384652612050127	3.846526120501276	HPV52	FcgR3A	fc_receptor_communication	2
bpv_calibrated_log2_change	PC1	1	HPV45__IgG	0.1927063603754066	0.1927063603754066	0.037135741329136	3.7135741329136094	HPV45	IgG	binding_antibody_abundance	3
bpv_calibrated_log2_change	PC1	1	HPV52__IgG1	0.1914488608275167	0.1914488608275167	0.0366526663121538	3.6652666312153857	HPV52	IgG1	igg_subclass_architecture	4
bpv_calibrated_log2_change	PC1	1	HPV58__FcgR3A	0.1908530178900178	0.1908530178900178	0.0364248744377274	3.642487443772745	HPV58	FcgR3A	fc_receptor_communication	5
bpv_calibrated_log2_change	PC1	1	HPV16__IgG1	-0.1884134614228455	0.1884134614228455	0.035499632445338	3.5499632445338096	HPV16	IgG1	igg_subclass_architecture	6
bpv_calibrated_log2_change	PC1	1	HPV45__IgG1	0.1870430565277455	0.1870430565277455	0.0349851049952414	3.49851049952414	HPV45	IgG1	igg_subclass_architecture	7
bpv_calibrated_log2_change	PC1	1	HPV58__IgG1	0.1798721898461717	0.1798721898461717	0.0323540046800572	3.2354004680057247	HPV58	IgG1	igg_subclass_architecture	8
bpv_calibrated_log2_change	PC1	1	HPV58__IgG	0.1795057042610385	0.1795057042610385	0.0322222978622514	3.222229786225142	HPV58	IgG	binding_antibody_abundance	9
bpv_calibrated_log2_change	PC1	1	HPV45__FcgR3A	0.1779020123906447	0.1779020123906447	0.0316491260126411	3.1649126012641102	HPV45	FcgR3A	fc_receptor_communication	10
bpv_calibrated_log2_change	PC1	1	HPV16__IgG	-0.1723523331683293	0.1723523331683293	0.0297053267485667	2.970532674856679	HPV16	IgG	binding_antibody_abundance	11
bpv_calibrated_log2_change	PC1	1	HPV45__FcgR2A	0.1694354712423661	0.1694354712423661	0.0287083789151226	2.8708378915122688	HPV45	FcgR2A	fc_receptor_communication	12
bpv_calibrated_log2_change	PC2	2	HPV16__IgA1	0.2304102069525764	0.2304102069525764	0.0530888634679291	5.308886346792912	HPV16	IgA1	binding_antibody_abundance	1
bpv_calibrated_log2_change	PC2	2	HPV18__IgG	0.2234275769038018	0.2234275769038018	0.0499198821211042	4.991988212110428	HPV18	IgG	binding_antibody_abundance	2
bpv_calibrated_log2_change	PC2	2	HPV18__IgA1	0.2161468802400605	0.2161468802400605	0.046719473837511	4.6719473837511085	HPV18	IgA1	binding_antibody_abundance	3
bpv_calibrated_log2_change	PC2	2	HPV16__IgA2	0.2138784214514367	0.2138784214514367	0.0457439791625584	4.574397916255841	HPV16	IgA2	binding_antibody_abundance	4
bpv_calibrated_log2_change	PC2	2	HPV18__FcgR2B	0.2053133492138019	0.2053133492138019	0.0421535713653885	4.2153571365388585	HPV18	FcgR2B	fc_receptor_communication	5
bpv_calibrated_log2_change	PC2	2	HPV31__FcgR2B	0.1936267297210661	0.1936267297210661	0.0374913104624748	3.74913104624748	HPV31	FcgR2B	fc_receptor_communication	6
bpv_calibrated_log2_change	PC2	2	HPV16__IgG	0.1910446864272659	0.1910446864272659	0.0364980722120923	3.649807221209236	HPV16	IgG	binding_antibody_abundance	7
