category	sheet_name	row_number	column_number	cell_value	within_first_20_rows
dose_regimen	Data glossary	3	1	Dosage	yes
participant_identifier	Data glossary	3	2	Number of 4vHPV doses the participant received	yes
vaccine_type	Data glossary	3	2	Number of 4vHPV doses the participant received	yes
dose_regimen	Data glossary	4	2	Data from Visit 1 samples (6 years after the last dose of 4vHPV vaccine) collected at the beginning of the study	yes
time_visit	Data glossary	4	2	Data from Visit 1 samples (6 years after the last dose of 4vHPV vaccine) collected at the beginning of the study	yes
vaccine_type	Data glossary	4	2	Data from Visit 1 samples (6 years after the last dose of 4vHPV vaccine) collected at the beginning of the study	yes
time_visit	Data glossary	5	2	Data from Visit 2 samples (28 days after receiving a 2vHPV vaccine booster)	yes
vaccine_type	Data glossary	5	2	Data from Visit 2 samples (28 days after receiving a 2vHPV vaccine booster)	yes
dose_regimen	HPV16_v1	1	2	Dosage	yes
antibody_isotype_subclass	HPV16_v1	1	3	IgG	yes
antibody_isotype_subclass	HPV16_v1	1	4	IgM	yes
antibody_isotype_subclass	HPV16_v1	1	5	IgA1	yes
antibody_isotype_subclass	HPV16_v1	1	6	IgA2	yes
antibody_isotype_subclass	HPV16_v1	1	7	IgG1	yes
antibody_isotype_subclass	HPV16_v1	1	8	IgG2	yes
antibody_isotype_subclass	HPV16_v1	1	9	IgG3	yes
antibody_isotype_subclass	HPV16_v1	1	10	IgG4	yes
fc_receptor	HPV16_v1	1	11	FcgR2A	yes
fc_receptor	HPV16_v1	1	12	FcgR2B	yes
fc_receptor	HPV16_v1	1	13	FcgR3A	yes
adcp	HPV16_v1	1	14	ADCP	yes
dose_regimen	HPV16_v2	1	2	Dosage	yes
antibody_isotype_subclass	HPV16_v2	1	3	IgG	yes
antibody_isotype_subclass	HPV16_v2	1	4	IgM	yes
antibody_isotype_subclass	HPV16_v2	1	5	IgA1	yes
antibody_isotype_subclass	HPV16_v2	1	6	IgA2	yes
antibody_isotype_subclass	HPV16_v2	1	7	IgG1	yes
antibody_isotype_subclass	HPV16_v2	1	8	IgG2	yes
antibody_isotype_subclass	HPV16_v2	1	9	IgG3	yes
antibody_isotype_subclass	HPV16_v2	1	10	IgG4	yes
fc_receptor	HPV16_v2	1	11	FcgR2A	yes
fc_receptor	HPV16_v2	1	12	FcgR2B	yes
fc_receptor	HPV16_v2	1	13	FcgR3A	yes
adcp	HPV16_v2	1	14	ADCP	yes
dose_regimen	HPV18_v1	1	2	Dosage	yes
antibody_isotype_subclass	HPV18_v1	1	3	IgG	yes
antibody_isotype_subclass	HPV18_v1	1	4	IgM	yes
antibody_isotype_subclass	HPV18_v1	1	5	IgA1	yes
antibody_isotype_subclass	HPV18_v1	1	6	IgA2	yes
antibody_isotype_subclass	HPV18_v1	1	7	IgG1	yes
antibody_isotype_subclass	HPV18_v1	1	8	IgG2	yes
antibody_isotype_subclass	HPV18_v1	1	9	IgG3	yes
antibody_isotype_subclass	HPV18_v1	1	10	IgG4	yes
fc_receptor	HPV18_v1	1	11	FcgR2A	yes
fc_receptor	HPV18_v1	1	12	FcgR2B	yes
fc_receptor	HPV18_v1	1	13	FcgR3A	yes
adcp	HPV18_v1	1	14	ADCP	yes
dose_regimen	HPV18_v2	1	2	Dosage	yes
antibody_isotype_subclass	HPV18_v2	1	3	IgG	yes
antibody_isotype_subclass	HPV18_v2	1	4	IgM	yes
antibody_isotype_subclass	HPV18_v2	1	5	IgA1	yes
antibody_isotype_subclass	HPV18_v2	1	6	IgA2	yes
antibody_isotype_subclass	HPV18_v2	1	7	IgG1	yes
antibody_isotype_subclass	HPV18_v2	1	8	IgG2	yes
antibody_isotype_subclass	HPV18_v2	1	9	IgG3	yes
antibody_isotype_subclass	HPV18_v2	1	10	IgG4	yes
fc_receptor	HPV18_v2	1	11	FcgR2A	yes
fc_receptor	HPV18_v2	1	12	FcgR2B	yes
fc_receptor	HPV18_v2	1	13	FcgR3A	yes
adcp	HPV18_v2	1	14	ADCP	yes
dose_regimen	HPV31_v1	1	2	Dosage	yes
antibody_isotype_subclass	HPV31_v1	1	3	IgG	yes
antibody_isotype_subclass	HPV31_v1	1	4	IgM	yes
antibody_isotype_subclass	HPV31_v1	1	5	IgA1	yes
antibody_isotype_subclass	HPV31_v1	1	6	IgA2	yes
antibody_isotype_subclass	HPV31_v1	1	7	IgG1	yes
antibody_isotype_subclass	HPV31_v1	1	8	IgG2	yes
antibody_isotype_subclass	HPV31_v1	1	9	IgG3	yes
antibody_isotype_subclass	HPV31_v1	1	10	IgG4	yes
fc_receptor	HPV31_v1	1	11	FcgR2A	yes
fc_receptor	HPV31_v1	1	12	FcgR2B	yes
fc_receptor	HPV31_v1	1	13	FcgR3A	yes
dose_regimen	HPV31_v2	1	2	Dosage	yes
antibody_isotype_subclass	HPV31_v2	1	3	IgG	yes
antibody_isotype_subclass	HPV31_v2	1	4	IgM	yes
antibody_isotype_subclass	HPV31_v2	1	5	IgA1	yes
antibody_isotype_subclass	HPV31_v2	1	6	IgA2	yes
antibody_isotype_subclass	HPV31_v2	1	7	IgG1	yes
antibody_isotype_subclass	HPV31_v2	1	8	IgG2	yes
antibody_isotype_subclass	HPV31_v2	1	9	IgG3	yes
antibody_isotype_subclass	HPV31_v2	1	10	IgG4	yes
fc_receptor	HPV31_v2	1	11	FcgR2A	yes
fc_receptor	HPV31_v2	1	12	FcgR2B	yes
fc_receptor	HPV31_v2	1	13	FcgR3A	yes
dose_regimen	HPV33_v1	1	2	Dosage	yes
antibody_isotype_subclass	HPV33_v1	1	3	IgG	yes
antibody_isotype_subclass	HPV33_v1	1	4	IgM	yes
antibody_isotype_subclass	HPV33_v1	1	5	IgA1	yes
antibody_isotype_subclass	HPV33_v1	1	6	IgA2	yes
antibody_isotype_subclass	HPV33_v1	1	7	IgG1	yes
antibody_isotype_subclass	HPV33_v1	1	8	IgG2	yes
antibody_isotype_subclass	HPV33_v1	1	9	IgG3	yes
antibody_isotype_subclass	HPV33_v1	1	10	IgG4	yes
fc_receptor	HPV33_v1	1	11	FcgR2A	yes
fc_receptor	HPV33_v1	1	12	FcgR2B	yes
fc_receptor	HPV33_v1	1	13	FcgR3A	yes
dose_regimen	HPV33_v2	1	2	Dosage	yes
antibody_isotype_subclass	HPV33_v2	1	3	IgG	yes
antibody_isotype_subclass	HPV33_v2	1	4	IgM	yes
antibody_isotype_subclass	HPV33_v2	1	5	IgA1	yes
antibody_isotype_subclass	HPV33_v2	1	6	IgA2	yes
antibody_isotype_subclass	HPV33_v2	1	7	IgG1	yes
antibody_isotype_subclass	HPV33_v2	1	8	IgG2	yes
antibody_isotype_subclass	HPV33_v2	1	9	IgG3	yes
antibody_isotype_subclass	HPV33_v2	1	10	IgG4	yes
fc_receptor	HPV33_v2	1	11	FcgR2A	yes
fc_receptor	HPV33_v2	1	12	FcgR2B	yes
fc_receptor	HPV33_v2	1	13	FcgR3A	yes
dose_regimen	HPV45_v1	1	2	Dosage	yes
antibody_isotype_subclass	HPV45_v1	1	3	IgG	yes
antibody_isotype_subclass	HPV45_v1	1	4	IgM	yes
antibody_isotype_subclass	HPV45_v1	1	5	IgA1	yes
antibody_isotype_subclass	HPV45_v1	1	6	IgA2	yes
antibody_isotype_subclass	HPV45_v1	1	7	IgG1	yes
antibody_isotype_subclass	HPV45_v1	1	8	IgG2	yes
antibody_isotype_subclass	HPV45_v1	1	9	IgG3	yes
antibody_isotype_subclass	HPV45_v1	1	10	IgG4	yes
fc_receptor	HPV45_v1	1	11	FcgR2A	yes
fc_receptor	HPV45_v1	1	12	FcgR2B	yes
fc_receptor	HPV45_v1	1	13	FcgR3A	yes
dose_regimen	HPV45_v2	1	2	Dosage	yes
antibody_isotype_subclass	HPV45_v2	1	3	IgG	yes
antibody_isotype_subclass	HPV45_v2	1	4	IgM	yes
antibody_isotype_subclass	HPV45_v2	1	5	IgA1	yes
antibody_isotype_subclass	HPV45_v2	1	6	IgA2	yes
antibody_isotype_subclass	HPV45_v2	1	7	IgG1	yes
antibody_isotype_subclass	HPV45_v2	1	8	IgG2	yes
antibody_isotype_subclass	HPV45_v2	1	9	IgG3	yes
antibody_isotype_subclass	HPV45_v2	1	10	IgG4	yes
fc_receptor	HPV45_v2	1	11	FcgR2A	yes
fc_receptor	HPV45_v2	1	12	FcgR2B	yes
fc_receptor	HPV45_v2	1	13	FcgR3A	yes
dose_regimen	HPV52_v1	1	2	Dosage	yes
antibody_isotype_subclass	HPV52_v1	1	3	IgG	yes
antibody_isotype_subclass	HPV52_v1	1	4	IgM	yes
antibody_isotype_subclass	HPV52_v1	1	5	IgA1	yes
antibody_isotype_subclass	HPV52_v1	1	6	IgA2	yes
antibody_isotype_subclass	HPV52_v1	1	7	IgG1	yes
antibody_isotype_subclass	HPV52_v1	1	8	IgG2	yes
antibody_isotype_subclass	HPV52_v1	1	9	IgG3	yes
antibody_isotype_subclass	HPV52_v1	1	10	IgG4	yes
