antigen_target	antigen_class	visit	feature	assay_family	rows_total	nonmissing_values	missing_values	nonmissing_fraction
BPV	heterologous_control_antigen	v1	FcgR2A	fc_gamma_receptor_binding	80	80	0	1.0
BPV	heterologous_control_antigen	v1	FcgR2B	fc_gamma_receptor_binding	80	80	0	1.0
BPV	heterologous_control_antigen	v1	FcgR3A	fc_gamma_receptor_binding	80	80	0	1.0
BPV	heterologous_control_antigen	v1	IgA1	antibody_isotype_or_subclass	80	80	0	1.0
BPV	heterologous_control_antigen	v1	IgA2	antibody_isotype_or_subclass	80	80	0	1.0
BPV	heterologous_control_antigen	v1	IgG	antibody_isotype_or_subclass	80	80	0	1.0
BPV	heterologous_control_antigen	v1	IgG1	antibody_isotype_or_subclass	80	80	0	1.0
BPV	heterologous_control_antigen	v1	IgG2	antibody_isotype_or_subclass	80	80	0	1.0
BPV	heterologous_control_antigen	v1	IgG3	antibody_isotype_or_subclass	80	80	0	1.0
BPV	heterologous_control_antigen	v1	IgG4	antibody_isotype_or_subclass	80	80	0	1.0
BPV	heterologous_control_antigen	v1	IgM	antibody_isotype_or_subclass	80	80	0	1.0
BPV	heterologous_control_antigen	v2	FcgR2A	fc_gamma_receptor_binding	80	80	0	1.0
BPV	heterologous_control_antigen	v2	FcgR2B	fc_gamma_receptor_binding	80	80	0	1.0
BPV	heterologous_control_antigen	v2	FcgR3A	fc_gamma_receptor_binding	80	80	0	1.0
BPV	heterologous_control_antigen	v2	IgA1	antibody_isotype_or_subclass	80	80	0	1.0
BPV	heterologous_control_antigen	v2	IgA2	antibody_isotype_or_subclass	80	80	0	1.0
BPV	heterologous_control_antigen	v2	IgG	antibody_isotype_or_subclass	80	80	0	1.0
BPV	heterologous_control_antigen	v2	IgG1	antibody_isotype_or_subclass	80	80	0	1.0
BPV	heterologous_control_antigen	v2	IgG2	antibody_isotype_or_subclass	80	80	0	1.0
BPV	heterologous_control_antigen	v2	IgG3	antibody_isotype_or_subclass	80	80	0	1.0
BPV	heterologous_control_antigen	v2	IgG4	antibody_isotype_or_subclass	80	80	0	1.0
BPV	heterologous_control_antigen	v2	IgM	antibody_isotype_or_subclass	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	ADCP	antibody_dependent_cellular_phagocytosis	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	FcgR2A	fc_gamma_receptor_binding	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	FcgR2B	fc_gamma_receptor_binding	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	FcgR3A	fc_gamma_receptor_binding	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgA1	antibody_isotype_or_subclass	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgA2	antibody_isotype_or_subclass	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgG	antibody_isotype_or_subclass	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgG1	antibody_isotype_or_subclass	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgG2	antibody_isotype_or_subclass	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgG3	antibody_isotype_or_subclass	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgG4	antibody_isotype_or_subclass	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgM	antibody_isotype_or_subclass	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	nAb	neutralizing_antibody	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	ADCP	antibody_dependent_cellular_phagocytosis	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	FcgR2A	fc_gamma_receptor_binding	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	FcgR2B	fc_gamma_receptor_binding	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	FcgR3A	fc_gamma_receptor_binding	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgA1	antibody_isotype_or_subclass	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgA2	antibody_isotype_or_subclass	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgG	antibody_isotype_or_subclass	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgG1	antibody_isotype_or_subclass	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgG2	antibody_isotype_or_subclass	80	80	0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgG3	antibody_isotype_or_subclass	80	80	0	1.0
