antigen_target	antigen_class	visit	feature	assay_family	observations	unique_participants	minimum	minimum_count	minimum_fraction	zero_count	zero_fraction	q1	median	mean	q3	maximum	standard_deviation	skewness	unique_values	possible_lower_bound_accumulation	discrete_titer_or_ordinal_assay
BPV	heterologous_control_antigen	v1	FcgR2A	fc_gamma_receptor_binding	80	80	1.0	17	0.2125	0	0.0	2.375	6.0	9.58	13.625	44.5	9.841547166625347	1.6733614207797622	47	yes	no
BPV	heterologous_control_antigen	v2	FcgR2A	fc_gamma_receptor_binding	80	80	1.0	20	0.25	0	0.0	2.349999999999998	9.95	18.51125	20.375	205.0	29.976919365075744	3.989441058102633	50	yes	no
BPV	heterologous_control_antigen	v1	FcgR2B	fc_gamma_receptor_binding	80	80	1.0	60	0.75	0	0.0	1.0	1.0	4.845	1.3249999999999993	57.0	9.198581343564735	3.4068988290953457	19	yes	no
BPV	heterologous_control_antigen	v2	FcgR2B	fc_gamma_receptor_binding	80	80	1.0	47	0.5875	0	0.0	1.0	1.0	13.789999999999997	22.075	129.5	22.354738404059308	2.6835242734909013	31	yes	no
BPV	heterologous_control_antigen	v1	FcgR3A	fc_gamma_receptor_binding	80	80	1.0	31	0.3875	0	0.0	1.0	3.75	8.179999999999998	14.075	51.0	9.639993171907872	1.77312860480771	42	yes	no
BPV	heterologous_control_antigen	v2	FcgR3A	fc_gamma_receptor_binding	80	80	1.0	24	0.3	0	0.0	1.0	10.899999999999999	15.41	22.1	137.0	19.890902443076836	3.5033404352986617	47	yes	no
BPV	heterologous_control_antigen	v1	IgA1	antibody_isotype_or_subclass	80	80	1.0	7	0.0875	0	0.0	56.95	131.25	231.07749999999996	265.5	1760.3	305.27524620092925	2.68533572489915	72	yes	no
BPV	heterologous_control_antigen	v2	IgA1	antibody_isotype_or_subclass	80	80	1.0	4	0.05	0	0.0	110.25	194.65	334.4875	302.25	3424.5	543.2821910225647	3.9730986649120132	73	yes	no
BPV	heterologous_control_antigen	v1	IgA2	antibody_isotype_or_subclass	80	80	0.7999999999999972	1	0.0125	0	0.0	1.0	15.75	49.03125	67.1	285.5	70.99734991265697	1.778512733347454	47	no	no
BPV	heterologous_control_antigen	v2	IgA2	antibody_isotype_or_subclass	80	80	1.0	31	0.3875	0	0.0	1.0	25.0	98.345	97.1	1751.5	228.11334507768643	5.355426710911223	49	yes	no
BPV	heterologous_control_antigen	v1	IgG	antibody_isotype_or_subclass	80	80	43.0	1	0.0125	0	0.0	205.25	303.25	423.29499999999996	470.5	3302.0	442.218627956119	4.115250615460359	79	no	no
BPV	heterologous_control_antigen	v2	IgG	antibody_isotype_or_subclass	80	80	77.7	1	0.0125	0	0.0	270.125	510.4	695.87625	832.75	4347.8	647.1360358707188	2.976278501898897	80	no	no
BPV	heterologous_control_antigen	v1	IgG1	antibody_isotype_or_subclass	80	80	14.3	1	0.0125	0	0.0	127.05	191.65	218.33125	248.60000000000002	1329.8	167.56689923710084	3.949435238111663	80	no	no
BPV	heterologous_control_antigen	v2	IgG1	antibody_isotype_or_subclass	80	80	58.0	1	0.0125	0	0.0	194.3	274.6	347.4225	400.125	1244.5	241.7062968102435	1.5521950020020157	77	no	no
BPV	heterologous_control_antigen	v1	IgG2	antibody_isotype_or_subclass	80	80	1.0	36	0.45	0	0.0	1.0	4.25	42.8625	38.425	639.2	105.47035743500804	4.610502162730994	43	yes	no
BPV	heterologous_control_antigen	v2	IgG2	antibody_isotype_or_subclass	80	80	1.0	31	0.3875	0	0.0	1.0	13.25	83.04	35.625	2237.7	292.49393008956696	5.922014588326307	48	yes	no
BPV	heterologous_control_antigen	v1	IgG3	antibody_isotype_or_subclass	80	80	1.0	5	0.0625	0	0.0	51.875	111.65	320.13374999999996	359.225	3454.7	559.565866292733	3.4380085204911026	75	yes	no
BPV	heterologous_control_antigen	v2	IgG3	antibody_isotype_or_subclass	80	80	1.0	2	0.025	0	0.0	102.925	182.75	542.2225000000001	374.3	10401.7	1393.4350050904393	5.724743531199271	77	no	no
BPV	heterologous_control_antigen	v1	IgG4	antibody_isotype_or_subclass	80	80	1.0	55	0.6875	0	0.0	1.0	1.0	8.471250000000001	4.875	136.5	21.713363987022174	4.278576901923103	23	yes	no
BPV	heterologous_control_antigen	v2	IgG4	antibody_isotype_or_subclass	80	80	0.5	1	0.0125	0	0.0	1.0	1.0	10.675	4.0	270.0	38.946596022915166	5.541594009219737	23	no	no
BPV	heterologous_control_antigen	v1	IgM	antibody_isotype_or_subclass	80	80	93.5	1	0.0125	0	0.0	425.05	616.4	842.6325	993.7	5536.8	845.222635456092	3.7772986742837733	79	no	no
BPV	heterologous_control_antigen	v2	IgM	antibody_isotype_or_subclass	80	80	96.0	1	0.0125	0	0.0	389.275	679.5	834.155	1017.5	4627.0	706.032311789722	2.9877110487364584	80	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	ADCP	antibody_dependent_cellular_phagocytosis	80	80	10.12814	1	0.0125	0	0.0	19.507173	33.07931825	48.050023015625	68.50868543749999	212.874436	39.07250724378817	1.6341993986247092	80	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	ADCP	antibody_dependent_cellular_phagocytosis	80	80	18.33275375	1	0.0125	0	0.0	89.3766704375	109.567356125	110.79571253125	136.91957250000002	187.66472200000004	41.98259959592642	-0.23765236545197665	80	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	FcgR2A	fc_gamma_receptor_binding	80	80	1.0	4	0.05	0	0.0	2086.95	3821.3	3402.6712500000003	4728.875	7821.5	1929.9996930670543	-0.37721255946161497	77	yes	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	FcgR2A	fc_gamma_receptor_binding	80	80	1.0	6	0.075	0	0.0	2885.3500000000004	4839.6	4175.875	5892.375	8437.5	2210.6174201116905	-0.7203364208042591	75	yes	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	FcgR2B	fc_gamma_receptor_binding	80	80	1.0	12	0.15	0	0.0	1057.5	2120.25	2021.38625	2867.75	5535.5	1372.9598700418207	0.03702757129737747	69	yes	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	FcgR2B	fc_gamma_receptor_binding	80	80	21.0	1	0.0125	0	0.0	2055.5249999999996	2650.25	2718.68875	3268.2250000000004	5681.0	1204.4621021192222	0.41227038937395993	79	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	FcgR3A	fc_gamma_receptor_binding	80	80	1.0	6	0.075	0	0.0	92.25	1830.9	1891.15	2596.45	5757.3	1562.1743735632467	0.4804868935933047	74	yes	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	FcgR3A	fc_gamma_receptor_binding	80	80	179.3	1	0.0125	0	0.0	1709.875	2607.9	2853.595	4278.125	6013.0	1631.7583808249324	0.26761683192760743	80	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgA1	antibody_isotype_or_subclass	80	80	1.0	1	0.0125	0	0.0	224.125	2523.75	7423.996249999999	10533.675	32569.7	10208.66522705525	1.4903323983730175	80	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgA1	antibody_isotype_or_subclass	80	80	680.0	1	0.0125	0	0.0	4741.25	11681.75	13707.703749999997	23831.15	32572.2	10416.911330898836	0.4918264285919977	80	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgA2	antibody_isotype_or_subclass	80	80	1.0	24	0.3	0	0.0	1.0	195.5	1966.0525000000002	1305.25	27552.5	4693.2992522729755	3.5643826566301122	56	yes	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgA2	antibody_isotype_or_subclass	80	80	1.0	2	0.025	0	0.0	735.5	2732.0	5152.63125	6065.875	31718.0	6908.687582570806	2.209683448642144	79	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgG	antibody_isotype_or_subclass	80	80	10.5	1	0.0125	0	0.0	2559.7	32335.5	22421.3625	32669.25	32712.5	14041.901035795769	-0.8291254989933781	78	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgG	antibody_isotype_or_subclass	80	80	3976.5	1	0.0125	0	0.0	32638.75	32668.5	29682.0625	32679.125	32712.0	7556.898646050324	-2.57729297347932	65	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgG1	antibody_isotype_or_subclass	80	80	22.0	1	0.0125	0	0.0	3056.75	24597.0	18769.50125	31029.85	32665.5	13030.31674424359	-0.4491534171811673	80	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgG1	antibody_isotype_or_subclass	80	80	2214.0	1	0.0125	0	0.0	22751.55	31583.15	26090.42875	32401.375	32687.8	9170.365281395625	-1.3208775081828577	80	no	no
