antigen_target	antigen_class	feature	assay_family	observations	minimum	minimum_positive	median	mean	maximum	skewness	unique_values	positive_dynamic_range	recommended_pseudocount	transform_recommendation
BPV	heterologous_control_antigen	FcgR2A	fc_gamma_receptor_binding	160	1.0	1.0	7.15	14.045625000000001	205.0	5.045037527320597	86	205.0	0.5	log2_with_target_feature_pseudocount
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	160	1.0	1.0	1.0	9.317499999999999	129.5	3.438471385212293	47	129.5	0.5	log2_with_target_feature_pseudocount
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	160	1.0	1.0	6.0	11.794999999999998	137.0	3.8977864997741425	72	137.0	0.5	log2_with_target_feature_pseudocount
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	160	1.0	1.0	156.6	282.78249999999997	3424.5	4.22688371594693	143	3424.5	0.5	log2_with_target_feature_pseudocount
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	160	0.7999999999999972	0.7999999999999972	18.25	73.688125	1751.5	6.742301231882954	91	2189.3750000000077	0.3999999999999986	log2_with_target_feature_pseudocount
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	160	43.0	43.0	399.75	559.585625	4347.8	3.3422738886787013	158	101.11162790697675	21.5	log2_with_target_feature_pseudocount
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	160	14.3	14.3	228.0	282.87687500000004	1329.8	2.227897246674093	154	92.99300699300699	7.15	log2_with_target_feature_pseudocount
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	160	1.0	1.0	11.0	62.95125	2237.7	7.279350055901945	87	2237.7	0.5	log2_with_target_feature_pseudocount
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	160	1.0	1.0	141.5	431.178125	10401.7	6.7744204478061505	149	10401.7	0.5	log2_with_target_feature_pseudocount
BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	160	0.5	0.5	1.0	9.573125000000001	270.0	5.909173599170803	42	540.0	0.25	log2_with_target_feature_pseudocount
BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	160	93.5	93.5	658.65	838.39375	5536.8	3.497209826541381	158	59.21711229946524	46.75	log2_with_target_feature_pseudocount
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	160	10.12814	10.12814	78.95888049999999	79.4228677734375	212.874436	0.3745420354289952	160	21.018117443084318	5.06407	log2_with_target_feature_pseudocount
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	160	1.0	1.0	4241.75	3789.2731249999997	8437.5	-0.47950729661642794	151	8437.5	0.5	log2_with_target_feature_pseudocount
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	160	1.0	1.0	2402.25	2370.0375	5681.0	0.07238247865701615	146	5681.0	0.5	log2_with_target_feature_pseudocount
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	160	1.0	1.0	2193.5	2372.3725	6013.0	0.35394645072919395	154	6013.0	0.5	log2_with_target_feature_pseudocount
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	160	1.0	1.0	6232.75	10565.849999999999	32572.2	0.8613153346523124	160	32572.2	0.5	log2_with_target_feature_pseudocount
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	160	1.0	1.0	929.5	3559.3418750000005	31718.0	2.6431307034958995	134	31718.0	0.5	log2_with_target_feature_pseudocount
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	160	10.5	10.5	32659.4	26051.7125	32712.5	-1.478845335036568	127	3115.4761904761904	5.25	log2_with_target_feature_pseudocount
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	160	22.0	22.0	28682.85	22429.965000000004	32687.8	-0.8853122382902527	160	1485.8090909090909	11.0	log2_with_target_feature_pseudocount
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG2	antibody_isotype_or_subclass	160	0.2000000000000028	0.2000000000000028	1345.6	3309.676875	28133.0	2.8349666292209186	141	140664.99999999805	0.1000000000000014	log2_with_target_feature_pseudocount
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG3	antibody_isotype_or_subclass	160	1.0	1.0	8510.25	14828.876250000001	32701.8	0.23388284923056726	156	32701.8	0.5	log2_with_target_feature_pseudocount
