antigen_target	antigen_class	outcome_family	assay_family	feature	dose1_persistence_mean_log2	dose2_persistence_mean_log2	dose3_persistence_mean_log2
BPV	heterologous_control_antigen	Antibody abundance	antibody_isotype_or_subclass	IgA1	6.319631208730053	6.75594962973909	5.982873030891002
BPV	heterologous_control_antigen	Antibody abundance	antibody_isotype_or_subclass	IgA2	2.780605800496215	3.125997709094865	3.4615596950667573
BPV	heterologous_control_antigen	Antibody abundance	antibody_isotype_or_subclass	IgG	7.934711469556904	8.555018006486833	8.51236008862339
BPV	heterologous_control_antigen	Antibody abundance	antibody_isotype_or_subclass	IgM	9.25863178091532	9.256335789167192	9.013855724264372
BPV	heterologous_control_antigen	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	1.6338549542542276	3.3754612250708558	3.0157041596408427
BPV	heterologous_control_antigen	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	0.7687100137285354	0.4940624284510985	1.4184208069600677
BPV	heterologous_control_antigen	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	1.9887926258115383	1.863645744585669	1.9217437158369337
BPV	heterologous_control_antigen	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	6.865982527817553	7.551437355660973	7.772692032093803
BPV	heterologous_control_antigen	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	3.3537060734735507	2.535112024990198	1.846968904978885
BPV	heterologous_control_antigen	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	5.712837873979888	6.862598022918625	6.452904991613756
BPV	heterologous_control_antigen	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	1.3808973329930065	0.7542459244140458	1.419849596358852
HPV16	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgA1	10.347624989700083	12.985311597221775	12.225278698999334
HPV16	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgA2	6.117899728561278	9.615381630340766	8.544628227877151
HPV16	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgG	14.060915928288484	14.989655170263243	14.933312963785083
HPV16	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgM	10.289488728486777	11.096979012607227	11.24547071001438
HPV16	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	10.953901237632772	12.019286697638181	11.963038466052728
HPV16	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	10.603064367882032	11.40609885728764	11.236217170810656
HPV16	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	10.244445874857915	10.471142371619237	11.403319217053154
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	13.468360602058421	14.713009005675298	14.700900264662126
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	8.581503975950577	11.160895611015482	10.282038316748352
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	10.70976460999822	12.06654181402525	10.661202557699681
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	4.390320489962145	7.66329580148912	6.241863710583986
HPV16	vaccine_target_2vHPV_and_4vHPV	Neutralization	neutralizing_antibody	nAb	9.943856189774728	12.024808570727108	11.749119347669463
HPV16	vaccine_target_2vHPV_and_4vHPV	Phagocytic function	antibody_dependent_cellular_phagocytosis	ADCP	5.040895220571604	5.928143134179809	5.501359783936761
HPV18	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgA1	8.822809778569521	9.79118803926266	9.568359114352331
HPV18	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgA2	2.8916423088833008	5.071190720356872	5.321424617880578
HPV18	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgG	12.300526888136757	13.76009035638194	13.571900820529077
HPV18	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgM	10.938311119144826	10.643536289387136	10.887043006580345
HPV18	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	8.986664230101871	10.104856061187334	10.064632175243034
HPV18	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	8.573289854461859	8.50062800480948	9.431276780574237
HPV18	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	7.478547023270383	7.879265987512164	8.26745086070195
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	11.403489074119669	12.695299235638247	12.61495490079306
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	6.587606923761091	8.037258269155476	8.642359442675698
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	6.976750579458203	7.807793430842338	7.99628359455204
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	2.909454316949914	4.192392052404651	4.183444984621222
HPV18	vaccine_target_2vHPV_and_4vHPV	Neutralization	neutralizing_antibody	nAb	8.243856189774728	9.548618094536632	9.749119347669463
HPV18	vaccine_target_2vHPV_and_4vHPV	Phagocytic function	antibody_dependent_cellular_phagocytosis	ADCP	4.989071601870895	5.3912739470982	5.281601536093061
HPV31	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA1	7.731991470815954	8.458720615263317	8.742262701744467
HPV31	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA2	2.9954651769949345	3.087640196420213	4.736184755897048
HPV31	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	9.448152634197069	11.38702100107894	11.246784148577019
HPV31	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	8.611668810608814	8.661981529809339	8.744577967409151
HPV31	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	5.528834882463714	8.447346420924422	8.348677138664074
HPV31	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	5.27831643092264	6.5046259943816525	7.298338377448381
HPV31	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	4.6408213568402354	6.2878735992114	6.855778120731547
HPV31	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	8.611822189009372	10.416931974204507	10.355446795125141
HPV31	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	1.9757794015276837	2.4885593926058016	4.3642462202093055
HPV31	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	5.411223810576123	6.692943331281335	6.7024593736357865
HPV31	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	0.9189028864666454	1.0573258400026393	0.8644112936416112
HPV33	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA1	7.085648463255994	6.764470688497052	7.897816342929227
HPV33	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA2	2.996344666578041	2.2538845054229246	4.9866699782676385
HPV33	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	8.756847015112474	9.037479389359584	9.818362965400583
HPV33	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	11.201926711941303	11.007220412611916	10.861326227256926
HPV33	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	2.5097503038469067	4.073575007934342	3.315530853961242
HPV33	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	6.081393968926818	5.673857567345926	5.981312018436997
HPV33	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	2.5900706213362454	3.2966865502647584	2.8892822998420673
