antigen_target	antigen_class	outcome_family	assay_family	feature	dose0_primary_mean_log2_change
BPV	heterologous_control_antigen	Antibody abundance	antibody_isotype_or_subclass	IgA1	0.9966010300604452
BPV	heterologous_control_antigen	Antibody abundance	antibody_isotype_or_subclass	IgA2	0.9365258917708026
BPV	heterologous_control_antigen	Antibody abundance	antibody_isotype_or_subclass	IgG	-0.07525718447833385
BPV	heterologous_control_antigen	Antibody abundance	antibody_isotype_or_subclass	IgM	-0.1197199727079525
BPV	heterologous_control_antigen	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	-0.40659620783189787
BPV	heterologous_control_antigen	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	-0.0799996135111291
BPV	heterologous_control_antigen	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	0.36822053834726143
BPV	heterologous_control_antigen	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	0.14822333606419283
BPV	heterologous_control_antigen	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	0.7840438471067046
BPV	heterologous_control_antigen	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	-1.2640528539383673
BPV	heterologous_control_antigen	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	0.19903929810108606
HPV16	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgA1	5.513085080474395
HPV16	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgA2	9.639142316027357
HPV16	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgG	6.454572587157871
HPV16	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgM	3.971182214883811
HPV16	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	-0.42526205818272117
HPV16	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	7.728529739934484
HPV16	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	6.662738455416481
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	6.35407373764079
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	1.2912135836911287
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	6.048283248858004
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	0.819372315259957
HPV16	vaccine_target_2vHPV_and_4vHPV	Neutralization	neutralizing_antibody	nAb	5.1
HPV16	vaccine_target_2vHPV_and_4vHPV	Phagocytic function	antibody_dependent_cellular_phagocytosis	ADCP	1.5838570278059971
HPV18	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgA1	3.8036306462243195
HPV18	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgA2	5.806649541396817
HPV18	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgG	3.750673700138944
HPV18	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgM	1.2226119047871562
HPV18	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	-0.18342677287726056
HPV18	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	2.7687396933893913
HPV18	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	3.8067782894436752
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	3.767649968659086
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	0.6552732689055487
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	3.7589881512686154
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	-0.2462005357836608
HPV18	vaccine_target_2vHPV_and_4vHPV	Neutralization	neutralizing_antibody	nAb	3.900000000000001
HPV18	vaccine_target_2vHPV_and_4vHPV	Phagocytic function	antibody_dependent_cellular_phagocytosis	ADCP	0.6181995887552679
HPV31	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA1	2.4189533227667677
HPV31	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA2	3.4641104511711225
HPV31	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	2.0329573073070186
HPV31	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	1.5753647784969118
HPV31	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	-1.0157618476208332
HPV31	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	2.3336024071487924
HPV31	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	2.0160363294119827
HPV31	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	1.9731375636557327
HPV31	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	-0.23522945806085724
HPV31	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	1.6810237828465269
HPV31	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	-0.0070546159617299155
HPV33	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA1	1.3008390024516268
HPV33	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA2	2.5550310632465476
HPV33	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	0.43412351303267754
HPV33	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	0.23385382390892556
HPV33	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	-0.5411164284058568
HPV33	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	0.9672134974712734
HPV33	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	0.6679077505291315
HPV33	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	0.3666587836314151
HPV33	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	0.340542911336152
HPV33	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	0.49865029982285325
HPV33	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	-0.1383134481543283
HPV45	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA1	1.3073489819575481
HPV45	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA2	-1.4188406596585104
HPV45	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	1.167879910523734
HPV45	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	0.5097683869783175
HPV45	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	-2.1522782051032046
HPV45	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	0.9364258095148028
HPV45	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	1.279967226680486
HPV45	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	1.1725152600167807
HPV45	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	-0.40772121500451936
HPV45	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	0.4596471759649523
HPV45	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	0.20635147071500853
HPV52	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA1	1.0713536639138435
HPV52	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA2	3.571645274820687
HPV52	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	0.5977975761374935
HPV52	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	0.1728144156751016
HPV52	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	-1.171386602299029
HPV52	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	0.7677191859783923
HPV52	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	0.3772928197263262
HPV52	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	0.520554669309383
