antigen_target	antigen_class	feature	assay_family	outcome_family	primary_participants	recall_participants	primary_mean_log2_change	recall_mean_log2_change	primary_geometric_mean_ratio	recall_geometric_mean_ratio	primary_minus_recall_log2_change	difference_standard_error	ci95_lower_primary_minus_recall	ci95_upper_primary_minus_recall	ratio_of_geometric_mean_ratios	ratio_ci95_lower	ratio_ci95_upper	maximum_floor_severity
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	Antibody abundance	20	60	6.454572587157871	0.32961173000229704	87.70411244850604	1.256675122225499	6.124960857155575	0.50374312734342	5.083395372064956	7.166526342246193	69.79060132358404	33.90427693891507	143.66116823204882	none
HPV16	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	Antibody abundance	20	60	3.971182214883811	0.8059779272687595	15.683571382626807	1.7483304917690188	3.1652042876150515	0.5226026084499276	2.092555801577385	4.237852773652718	8.9705987835044	4.265029740307284	18.867779929903335	none
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	Antibody abundance	20	60	5.513085080474395	1.4425863943227413	45.66715724611298	2.7180771276330526	4.070498686151654	0.611971130145903	2.8253191416919323	5.315678230611376	16.801273511278435	7.087707866608515	39.82709176413325	none
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	Antibody abundance	20	60	9.639142316027357	2.814863070510542	797.3903390975588	7.0365247230128105	6.824279245516815	0.7890261905461883	5.230195336461316	8.418363154572313	113.32161407600971	37.53580026302497	342.1210717982752	high
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	20	60	6.35407373764079	0.5588712523839372	81.80254015087215	1.4731162175166646	5.795202485256853	0.4979455162500411	4.767954342129357	6.822450628384349	55.530269219880324	27.245656374024946	113.17806982885517	none
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	20	60	1.2912135836911287	1.182438248902267	2.447338371491546	2.2696003039002335	0.10877533478886181	1.0261371004738684	-2.0081096824704936	2.2256603520482168	1.078312497264772	0.24859864146586183	4.6772493803714585	moderate
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	20	60	6.048283248858004	3.2103258932335863	66.17815881068151	9.25559599998629	2.8379573556244178	0.7897482122921567	1.223472980998045	4.452441730250791	7.1500699480378715	2.335081624035018	21.893667328636226	none
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	20	60	0.819372315259957	1.0599833241806926	1.7646380705006466	2.0849074225210193	-0.24061100892073561	0.4813206054308966	-1.203156359750957	0.7219343419094858	0.846386775469814	0.434324017848103	1.6493920304926062	moderate
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	-0.42526205818272117	0.5822483054602395	0.7447034476987028	1.4971806477182736	-1.0075103636429608	2.2016180275121386	-5.611389435898662	3.59636870861274	0.497403869622308	0.020455187390826572	12.095250206615109	low
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	7.728529739934484	0.27768781394802045	212.08955168930208	1.2122504707296167	7.450841925986464	0.8925187678913898	5.594860305240019	9.30682354673291	174.95522320700923	48.33044272159251	633.3343624377588	moderate
