antigen_target	antigen_class	outcome_family	assay_family	feature	dose1_recall_mean_log2_change	dose2_recall_mean_log2_change	dose3_recall_mean_log2_change
BPV	heterologous_control_antigen	Antibody abundance	antibody_isotype_or_subclass	IgA1	0.27410760565272174	0.5867816619183215	1.1527572804020554
BPV	heterologous_control_antigen	Antibody abundance	antibody_isotype_or_subclass	IgA2	0.11975710780333752	0.7795382084971871	-0.026055664861395492
BPV	heterologous_control_antigen	Antibody abundance	antibody_isotype_or_subclass	IgG	1.0073326468856494	0.6213195011101276	1.2711530493012613
BPV	heterologous_control_antigen	Antibody abundance	antibody_isotype_or_subclass	IgM	-0.04869057499366782	0.23661715906617267	0.05462258006623045
BPV	heterologous_control_antigen	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	1.3126559816079524	0.281266920519847	0.7355696741351183
BPV	heterologous_control_antigen	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	0.4282853652235089	2.5531120931337616	0.9653363567008676
BPV	heterologous_control_antigen	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	0.6327174168822417	1.183176571426511	1.1548898546707347
BPV	heterologous_control_antigen	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	1.1968993846475602	0.501383217451947	0.8643314015821352
BPV	heterologous_control_antigen	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	-0.6512664667483063	0.884500811237386	0.1350985969499484
BPV	heterologous_control_antigen	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	2.4104602026815707	1.2848390635515081	0.8778632210720517
BPV	heterologous_control_antigen	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	-0.17324413043453363	0.274641530042122	-0.74133466461052
HPV16	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgA1	2.6960906176031876	0.6363972359865533	1.0141594395570053
HPV16	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgA2	4.523405268357246	1.7438883408538173	2.2001065108188125
HPV16	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgG	0.9236340941015235	0.006394895647125291	0.061564689974616914
HPV16	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgM	1.463621301895222	0.24614099481396018	0.7324888793225243
HPV16	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	1.0034217709890243	0.3647268484301326	0.3793262679368998
HPV16	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	0.567756456232795	0.14025377040338438	0.1242531859870659
HPV16	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	1.1909848145645874	1.267304236298509	0.35778665205549803
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	1.3353682467569559	0.13239144966685695	0.21287840867858532
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	2.491257919520913	0.42467407945578595	0.6422621513234879
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	3.907183967574015	2.32313607312366	3.4573693003651584
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	2.488289295045335	0.4073493994965609	0.27783558739510894
HPV16	vaccine_target_2vHPV_and_4vHPV	Neutralization	neutralizing_antibody	nAb	5.75	3.4761904761904763	3.736842105263157
HPV16	vaccine_target_2vHPV_and_4vHPV	Phagocytic function	antibody_dependent_cellular_phagocytosis	ADCP	1.76210230770852	1.0534544515500721	1.4785603588977836
HPV18	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgA1	2.3867239275244474	1.8801186087905934	1.6779006065487532
HPV18	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgA2	4.752425889451458	3.404783419719778	3.5007515923380756
HPV18	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgG	2.546237540786886	1.1678656504228988	1.3607197046128814
HPV18	vaccine_target_2vHPV_and_4vHPV	Antibody abundance	antibody_isotype_or_subclass	IgM	0.8213861852978122	0.6485369508997606	0.8252219123193689
HPV18	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	0.8734429211837551	1.0063717069827915	0.9214509603575735
HPV18	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	1.710886797289525	1.8169470483435017	0.7107798963519194
HPV18	vaccine_target_2vHPV_and_4vHPV	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	2.1475669673991553	2.615614350216618	1.470449160518752
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	2.638168749138557	1.3879506354933322	1.7110230334190963
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	2.8799955427788255	2.534977917207841	1.4787573945043366
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	3.9800401241197227	3.559389144155444	2.2536630854375175
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	2.0124065787615644	1.8101030181419633	1.9345140694584284
HPV18	vaccine_target_2vHPV_and_4vHPV	Neutralization	neutralizing_antibody	nAb	6.1	5.238095238095238	5.157894736842105
HPV18	vaccine_target_2vHPV_and_4vHPV	Phagocytic function	antibody_dependent_cellular_phagocytosis	ADCP	0.9053317994925928	0.5662965464144832	0.6044473078441164
HPV31	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA1	3.516461821768438	3.2295791434205006	3.381308922398691
HPV31	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA2	4.103218683831435	4.901327733755285	4.571850710320103
HPV31	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	5.041652973623409	3.0819092706659355	3.3060804489642086
HPV31	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	1.7851589406181383	0.9385875945928613	1.3660399141845556
HPV31	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	3.73596922304689	2.330053899987353	2.3431587035352526
HPV31	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	5.080293889823286	3.3449162085835757	2.7137680232993695
HPV31	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	5.399575353412487	4.110380332860128	3.575111601241427
HPV31	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	4.676450545473426	2.7062367657947872	3.184088939904793
HPV31	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	3.517412942966112	3.794207910188667	1.7857907959200863
HPV31	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	7.458074143004342	5.8215405651358685	4.785306082490975
HPV31	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	1.9893567999816308	1.7803082299175723	1.951499555650317
HPV33	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA1	1.4773909378778434	1.3237535039340425	0.859958871055299
HPV33	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA2	1.2007624138707151	1.221037068962779	1.672217043162079
HPV33	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	2.1997382608134917	1.6418443888792542	1.5280363379550672
HPV33	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	0.2337468368742762	0.029746397062499343	0.09519678156351134
HPV33	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	3.0410379055636256	2.5539314034723497	3.6298339111919606
HPV33	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	1.3975427278630768	2.0267299116392694	1.189212519716112
HPV33	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	3.574388881722844	2.792564101068946	3.4700671618544887
HPV33	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	2.0294186868507946	1.3492373409346503	1.671071471995084
HPV33	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	1.6303759364159691	0.7288561051003166	-0.24289328216036346
HPV33	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	2.6193049367877683	2.4477199469575637	0.2403816809346365
HPV33	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	-0.030446370413626588	0.4172396897708764	0.19741264650058257
HPV45	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA1	1.6264471622331702	2.757085696599544	1.0130246791644235
HPV45	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA2	0.9263233621139648	-0.3327411514153591	-0.06913347018498701
HPV45	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	4.49560184411158	3.669228503340243	3.757959687739072
HPV45	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	0.41554917338179964	0.7148673178675794	0.6257083959784469
HPV45	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	2.790458247698408	3.2861049111250793	3.535896797004563
HPV45	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	4.793248138353397	4.684634540440045	3.4406681622974955
HPV45	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	6.018662477327074	5.7771702456410985	4.358099361223715
HPV45	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	4.309510923357007	3.8836316572683707	3.624392876802324
HPV45	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	1.9789670754065696	2.7012734875132223	1.0121173061502902
HPV45	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	3.216928631153975	2.447610572975983	1.2426467570183692
HPV45	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	0.289984359919485	1.6210638922484726	1.1130898485610936
HPV52	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA1	2.050698106177875	1.2960559603639987	0.2504407937538809
HPV52	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA2	1.124350732154068	0.4172285805384668	-1.2764390407390132
HPV52	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	4.433932293106385	3.181324734446331	3.6222835143800807
HPV52	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	0.2960263287674475	0.07113848981235786	0.14465695012662683
HPV52	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	4.956728302507235	2.7068322681099812	3.730942200292192
HPV52	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	5.072012448298682	3.8170290982875965	3.9525569713179705
HPV52	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	5.692508219630346	4.787867908517309	4.106362138532975
HPV52	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	4.170886389476327	3.099520294829498	3.110324158947204
HPV52	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	1.9257523427772696	3.6433666444970663	1.532312892677406
HPV52	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	6.216801706450782	4.117724507598211	3.494173292961086
HPV52	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	1.1113698544706156	1.8187150899895148	0.9141729682655537
HPV58	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA1	1.2622898395453077	1.197066638482191	0.7242248619989885
HPV58	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA2	3.151005691198407	1.2663463789881337	0.4554803152402348
HPV58	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	4.338625600943137	2.5037487786885464	3.335402683273118
HPV58	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	0.15085635286802787	-0.058912619225241075	0.04229565947523808
HPV58	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	4.4235463033998785	2.810645944980559	3.665671163616598
HPV58	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	4.047478197925714	3.0726422716416044	2.6693060917569764
HPV58	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	6.358503677251621	4.961473050805968	4.320035048492859
HPV58	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	4.19510075016283	2.588367526482062	3.147898600238105
HPV58	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	2.1682482787140387	1.7791270129782335	1.1876474503871237
HPV58	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	5.505721553370764	4.195767953699142	2.6067853068324793
HPV58	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	0.7684966264857342	1.597181873475692	1.669670634125714
