previous_4vHPV_doses	visit	prior_4vHPV_exposure_status	immunization_context	response_type	antigen_target	antigen_class	feature	assay_family	outcome_family	floor_severity	minimum_fraction	participants	observations	mean_log2_value	sd_log2_value	se_log2_value	ci95_lower_log2	ci95_upper_log2	geometric_mean	geometric_mean_ci95_lower	geometric_mean_ci95_upper	raw_median	raw_q1	raw_q3	raw_minimum	raw_maximum
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	20	20	7.590463628588488	2.1653423766543605	0.4841852748760103	6.577052201482721	8.603875055694253	192.73351110770977	95.4750722499459	389.06706670679387	158.15	97.15	306.375	10.5	13638.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV16	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	20	20	9.234732878829242	1.452981385535316	0.3248965148098796	8.554716658138753	9.91474909951973	602.464690208707	376.03331082221484	965.243483761148	550.9	310.6	1101.1	137.5	4941.3
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV16	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	20	20	7.14569712468266	1.3797515283116846	0.3085218209364152	6.4999535321529045	7.791440717212415	141.60193056624607	90.50675280775242	221.54265972483856	123.25	84.97500000000001	228.75	25.5	978.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV16	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	0.3	20	20	0.7844125154566589	1.6165317884319825	0.3614674966723221	0.027852350034750062	1.5409726808785678	1.722390796236717	1.0194933394918304	2.9099062642622835	1.0	1.0	1.125	1.0	32.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	0.0125	20	20	7.094612101273315	2.2834590931041427	0.5105969756020884	6.025920349230034	8.163303853316595	136.6756191914997	65.16025520705205	286.6812725337232	78.15	60.974999999999994	185.85000000000002	22.0	15956.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	moderate	0.15	20	20	2.1306014310886705	2.6053345900947957	0.5825705247583514	0.9112673093801966	3.3499355527971444	4.378999943234302	1.8806968371682249	10.196029537497857	2.1499999999999986	1.0	16.95	1.0	325.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	none	0.025	20	20	5.95336302927217	3.191777457122528	0.7137031363177392	4.459565197252522	7.447160861291818	61.96419997957186	22.002037066395747	174.5093905405982	98.25	22.325	190.375	1.0	9301.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	none	0.0125	20	20	0.07948817434924912	0.4902550856339338	0.10962436977924564	-0.14995826854805824	0.30893461724655646	1.0566431082468761	0.901276532593237	1.2387925545926914	1.0	1.0	1.0	0.7000000000000028	4.299999999999997
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	0.05	20	20	6.971249731287157	5.325316627864191	1.190776998161428	4.478924830699224	9.46357463187509	125.4744429775559	22.299273920989123	706.0245950747791	877.5	2.25	3756.925	1.0	5971.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	0.15	20	20	2.944202823589478	4.141541263009108	0.92607677957087	1.0059018477187085	4.882503799460248	7.696501586246387	2.008198456102585	29.497152777447997	1.0	1.0	50.05	1.0	2449.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	low	0.075	20	20	2.9670683872279513	3.218370144914769	0.7196494420785272	1.460824794216108	4.473311980239795	7.819456783631061	2.7526568908833586	22.212686438901603	4.5	1.75	10.725000000000001	1.0	1811.8
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	0.0125	20	20	4.233294382377513	0.741040782400042	0.16570175635461237	3.8864766204696117	4.580112144285414	18.808258694298427	14.789246247862572	23.919447224213908	16.612272625	14.064552062499999	20.6921185625	12.015343	129.20416899999998
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV16	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	Neutralization	moderate	0.25	20	20	5.743856189774724	0.44721359549995787	0.09999999999999998	5.534553784333898	5.95315859521555	53.58867312681463	46.35181043189806	61.95542009544307	50.0	50.0	50.0	50.0	200.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV18	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	20	20	8.355845572939526	1.275323972120227	0.2851711094995874	7.758975581134596	8.952715564744455	327.6122682267514	216.61293433677554	495.4911793300745	306.75	187.45	540.0	52.5	1904.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV18	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	20	20	10.936603037227993	0.7344888320063812	0.16423669570806915	10.592851682494475	11.280354391961511	1959.9525841229222	1544.422414689488	2487.2820385622617	2136.9	1432.7	2630.125	566.8	4433.8
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV18	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	20	20	7.3054762264247675	1.9869975786410359	0.444306165696884	6.375532734099286	8.235419718750249	158.1857932750249	83.02838515980514	301.375790290122	199.75	107.75	326.5	1.0	868.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV18	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	0.475	20	20	2.8538837639795362	3.1399771121832107	0.7021202270635142	1.3843292396490097	4.323438288310063	7.229439324233573	2.6105055748877706	20.020946687701187	2.5	1.0	71.075	1.0	155.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV18	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	0.0125	20	20	7.738345496736001	1.2330336256652805	0.27571470055305963	7.161267996324476	8.315422997147525	213.53747907079182	143.13850399099033	318.5603712246355	176.75	126.425	336.375	47.3	1804.8
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV18	vaccine_target_2vHPV_and_4vHPV	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	low	0.1125	20	20	2.7571964404359965	2.6316820019546285	0.5884619851533284	1.5255313504052421	3.988861530466751	6.760811579164418	2.8789272853219137	15.87694605626438	9.5	1.0	19.6	1.0	222.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV18	vaccine_target_2vHPV_and_4vHPV	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	none	0.0375	20	20	6.090468065713091	2.9146918712647647	0.6517449157614079	4.726350279686177	7.454585851740005	68.14179590832741	26.4711740887045	175.40983766162032	134.9	26.5	273.75	1.0	708.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV18	vaccine_target_2vHPV_and_4vHPV	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	0.3875	20	20	1.192135255505802	1.895681418112859	0.4238872514583554	0.3049290418464602	2.079341469165144	2.2849066981658237	1.235357875242358	4.226142661938192	1.0	1.0	5.324999999999999	1.0	78.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	0.0875	20	20	5.701449394500834	4.986706004742113	1.1150613610409754	3.3675991437008554	8.035299645300812	52.03640516241492	10.321631634890563	262.3410288227857	215.5	1.0	1279.6	1.0	3173.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	none	0.0125	20	20	6.1270914903808515	2.208252814107453	0.4937803403849471	5.093597360361257	7.160585620400446	69.89374718998887	34.14488004298462	143.07081735558108	98.0	42.525	126.375	1.0	1357.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	low	0.125	20	20	2.8560231704437533	2.4058167431608726	0.5379569779114863	1.7300662754382379	3.9819800654492687	7.2401679830483605	3.3174305779836764	15.80139544460921	6.4	2.825	12.350000000000001	1.0	654.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV18	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	0.0125	20	20	5.031283724519215	0.26580145690898394	0.05943501261669692	4.90688481343841	5.155682635600019	32.70147317944612	29.999879763393697	35.64635447009074	31.074608	28.7755426875	35.318383999999995	25.526402	59.046273
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV18	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	Neutralization	high	0.35	20	20	5.693856189774724	0.22360679774997894	0.04999999999999999	5.589204987054311	5.798507392495138	51.763246192068856	48.14135978132422	55.65762306074663	50.0	50.0	50.0	50.0	100.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV31	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	20	20	7.408559897377339	1.3012339050544786	0.2909647466329321	6.799563683689806	8.017556111064872	169.90210272916997	111.39677712143497	259.13428788272273	145.0	92.825	253.45	42.5	1731.8
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV31	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	20	20	9.052589484434149	1.3678543187807444	0.30586152401104116	8.41241395736107	9.692765011507229	531.007888945168	340.7131824766829	827.5857601761587	431.6	325.05	617.425	113.5	8099.8
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV31	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	0.05	20	20	6.767870413212824	1.766623287995008	0.39502897625910255	5.941065263714252	7.594675562711396	108.97628560626377	61.438251947918936	193.2970168911233	138.1	113.175	181.7	1.0	404.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV31	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	0.575	20	20	1.8150123700909258	2.9391368784223864	0.657210985532899	0.43945396854920715	3.190570771632644	3.5186264732970223	1.3560909767765799	9.129720992625113	1.0	1.0	23.224999999999994	1.0	277.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV31	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	0.0125	20	20	6.505945700416314	1.209186755518482	0.27038237828317446	5.940028878781515	7.071862522051113	90.88345024715592	61.39413256597061	134.5373113619898	79.75	57.225	133.25	18.5	481.0
