contrast_label	fit_method	estimate_log2	standard_error	p_value	q_value	fdr_significant_0_05	antigen_target	feature	cluster_robust_estimate_log2	cluster_robust_standard_error	cluster_robust_test_statistic	cluster_robust_p_value	cluster_robust_ci95_lower	cluster_robust_ci95_upper	estimate_difference	absolute_estimate_difference	direction_agreement	nominal_significance_agreement
dose2_minus_dose1_at_v1	mixedlm_powell_convergence_repair	1.0653854600054045	0.8565666825324708	0.2135784150230182	0.455883340597659	no	HPV16	FcgR2A	1.0653854600054125	0.56640476951076	1.8809613148661406	0.059977181414741364	-0.04474748890738778	2.1755184089182125	7.993605777301127e-15	7.993605777301127e-15	yes	yes
dose3_minus_dose1_at_v1	mixedlm_powell_convergence_repair	1.0091372284199558	0.8782828447557866	0.2505605630220219	0.5092037248512058	no	HPV16	FcgR2A	1.0091372284199647	0.5568708230236734	1.8121567636468983	0.06996197759090285	-0.08230952874761344	2.1005839855875426	8.881784197001252e-15	8.881784197001252e-15	yes	yes
dose3_minus_dose2_at_v1	mixedlm_powell_convergence_repair	-0.0562482315854486	0.8680354113471931	0.9483336662058554	0.9628308718258524	no	HPV16	FcgR2A	-0.05624823158544778	0.19282957583123575	-0.29169919263150884	0.7705166265761487	-0.4341872553688051	0.3216907921979095	8.187894806610529e-16	8.187894806610529e-16	yes	yes
dose0_minus_mean_dose1_2_3_change	mixedlm_powell_convergence_repair	-1.0077536873013866	1.0012763280710026	0.3141899672409067	0.3141899672409067	no	HPV16	FcgR2A	-1.007753687301399	2.2084497134095837	-0.45631724425617426	0.6481618654022878	-5.336235587251987	3.320728212649189	-1.2434497875801753e-14	1.2434497875801753e-14	yes	yes
dose2_minus_dose1_change	mixedlm_powell_convergence_repair	-0.638694922558883	1.2113682194505533	0.5980194012857378	0.8362986994246877	no	HPV16	FcgR2A	-0.6386949225588847	0.5272785798178771	-1.2113045115155086	0.22577872032226676	-1.672141948821352	0.3947521037035826	-1.6653345369377348e-15	1.6653345369377348e-15	yes	yes
dose3_minus_dose1_change	mixedlm_powell_convergence_repair	-0.6240955030521214	1.2420795105878433	0.6153438511826257	0.8362986994246877	no	HPV16	FcgR2A	-0.6240955030521212	0.516803434860113	-1.2076071112434648	0.22719842258377887	-1.6370116224645348	0.3888206163602922	1.1102230246251565e-16	1.1102230246251565e-16	yes	yes
dose3_minus_dose2_change	mixedlm_powell_convergence_repair	0.0145994195067616	1.2275874512826583	0.9905111633220064	0.992909625305679	no	HPV16	FcgR2A	0.014599419506763467	0.18361050288238523	0.07951298688025145	0.9366246022821428	-0.3452705533259994	0.3744693923395263	1.8665624601510444e-15	1.8665624601510444e-15	yes	yes
dose0_v2_minus_v1	mixedlm_powell_convergence_repair	-0.4252620581827027	0.8669496880356731	0.6237611686562525	0.6894202390411212	no	HPV16	FcgR2A	-0.425262058182721	2.2011572859151594	-0.1931993051582013	0.8468028828883155	-4.739451062884368	3.888926946518926	-1.8318679906315083e-14	1.8318679906315083e-14	yes	yes
dose1_v2_minus_v1	mixedlm_powell_convergence_repair	1.0034217709890187	0.8669496880356687	0.2471022843319904	0.2830444347802799	no	HPV16	FcgR2A	1.0034217709890134	0.5056657365539259	1.9843578444275414	0.047215961963340096	0.012335139127399586	1.9945084028506272	-5.329070518200751e-15	5.329070518200751e-15	yes	no
dose2_v2_minus_v1	mixedlm_powell_convergence_repair	0.3647268484301356	0.8460562637967173	0.6664025416091223	0.6917305847530353	no	HPV16	FcgR2A	0.3647268484301288	0.14941507156286354	2.44103117988788	0.014645390233252285	0.07187868941944148	0.6575750074408162	-6.772360450213455e-15	6.772360450213455e-15	yes	no
dose3_v2_minus_v1	mixedlm_powell_convergence_repair	0.3793262679368973	0.8894716122715738	0.6697708836497642	0.6917305847530353	no	HPV16	FcgR2A	0.3793262679368923	0.10671435310485904	3.554594643554283	0.0003785622361546653	0.17016997921787846	0.5884825566559061	-4.9960036108132044e-15	4.9960036108132044e-15	yes	no
