antigen_target	antigen_class	feature	assay_family	outcome_family	maximum_floor_severity	fit_method	coefficient	estimate	standard_error	test_statistic	p_value
BPV	heterologous_control_antigen	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	intercept	1.7913192039209778	0.36752488421895296	4.874007940245481	1.0935659137746376e-06
BPV	heterologous_control_antigen	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	visit_v2	-0.4065962078318939	0.48390448547636167	-0.8402406260641198	0.40077348410069125
BPV	heterologous_control_antigen	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	dose1	-0.15746424966675185	0.5197586757720442	-0.30295646230985196	0.7619230412812584
BPV	heterologous_control_antigen	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	dose2	1.5841420211498765	0.5135337964176834	3.084786302674834	0.0020369845276709295
BPV	heterologous_control_antigen	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	dose3	1.2243849557198638	0.5265531952077348	2.3252825485881283	0.02005685682570383
BPV	heterologous_control_antigen	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	visit_v2_dose1	1.7192521894398465	0.6843442862538447	2.51226206453943	0.011995996871409578
BPV	heterologous_control_antigen	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	visit_v2_dose2	0.6878631283517419	0.6761482506370295	1.0173259010929558	0.3089984189899796
BPV	heterologous_control_antigen	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	visit_v2_dose3	1.1421658819670126	0.6932903428958987	1.6474567887331946	0.09946419102851481
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	intercept	1.0367680805282413	0.4356682361385453	2.379719232499985	0.017325833469597728
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	visit_v2	-0.07999961351112807	0.4565753625591052	-0.17521666754581366	0.860909388118696
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	dose1	-0.2680580667997062	0.6161279282422948	-0.43506884611517116	0.6635124558316632
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	dose2	-0.5427056520771427	0.6087488844688289	-0.8915098917194517	0.3726556872665986
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	dose3	0.3816527264318262	0.6241822299373956	0.6114443957658091	0.5409054191252618
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	visit_v2_dose1	0.5082849787346374	0.645695069976502	0.787190428375324	0.4311703995201125
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	visit_v2_dose2	2.63311170664489	0.6379619159231541	4.127380711801083	3.669186571619349e-05
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	visit_v2_dose3	1.045335970211996	0.6541358866612227	1.59804100574194	0.110033851471174
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	intercept	2.0505565695954098	0.43425638788010346	4.721995178022714	2.335422208567688e-06
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	visit_v2	0.3682205383472616	0.3522087131223621	1.045461184315837	0.2958098713566193
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	dose1	-0.061763943783871	0.6141312732871933	-0.10057124017357705	0.9198908279392841
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	dose2	-0.18691082500974035	0.6067761424117457	-0.30803917943581	0.7580525199920098
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	dose3	-0.1288128537584752	0.6221594738097093	-0.20704153706718817	0.8359774193476238
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	visit_v2_dose1	0.26449687853498	0.49809833888361976	0.5310133720337089	0.5954095128091386
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	visit_v2_dose2	0.8149560330792495	0.49213287411951084	1.6559674753232263	0.09772840561470433
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	visit_v2_dose3	0.7866693163234726	0.5046097046427443	1.558965888062779	0.11900445410585618
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	intercept	7.025031197990379	0.517131364669836	13.584616362373476	4.941141546419671e-42
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	visit_v2	0.9966010300604478	0.5461657307144857	1.8247227425944674	0.06804287949374516
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	dose1	-0.7053999892603272	0.7313341894445884	-0.9645385098104645	0.33477601096163323
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	dose2	-0.26908156825128926	0.7225753801947965	-0.3723923837243784	0.7096007237376449
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	dose3	-1.0421581670993807	0.7408945192587764	-1.4066215095530763	0.15953965142769067
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	visit_v2_dose1	-0.7224934244077257	0.7723949836798397	-0.9353937294693794	0.349585427250378
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	visit_v2_dose2	-0.40981936814212716	0.7631444106515424	-0.537014177686553	0.5912578208396662
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	visit_v2_dose3	0.15615625034160951	0.7824920786842614	0.1995627235028141	0.8418225836245862
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	intercept	3.8105988529488037	0.7073145136124243	5.387417873679935	7.147711836679902e-08
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	visit_v2	0.9365258917708117	0.5402757492941604	1.733422040493821	0.08302068292199451
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	dose1	-1.0299930524525875	1.000293778014021	-1.0296905520071626	0.30315529213309356
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	dose2	-0.684601143853938	0.9883137796468828	-0.6926961436261072	0.48850025971438227
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	dose3	-0.3490391578820461	1.0133700686714522	-0.34443405096781987	0.7305198846876999
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	visit_v2_dose1	-0.8167687839674743	0.764065292073086	-1.0689777332397752	0.28507970296308105
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	visit_v2_dose2	-0.1569876832736253	0.7549144794292288	-0.2079542617758764	0.8352646803891398
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	visit_v2_dose3	-0.9625815566322071	0.7740534975983059	-1.2435594692341765	0.21366174099807334
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	intercept	8.147854291914916	0.22561013393844404	36.114753134883536	1.3308215426209477e-285
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	visit_v2	-0.07525718447832072	0.24285465952365248	-0.3098856930558137	0.7566478829213126
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	dose1	-0.21314282235800713	0.319060911224558	-0.6680317608946941	0.5041133188443125
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	dose2	0.407163714571919	0.31523968462143276	1.2916004374921153	0.19649555246974149
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	dose3	0.36450579670847616	0.3232318191161181	1.1276915673253405	0.2594502002086321
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	visit_v2_dose1	1.0825898313639688	0.3434483531838498	3.1521182772550738	0.0016209060137331098
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	visit_v2_dose2	0.6965766855884482	0.33933505087129545	2.0527696263615542	0.040094925647987084
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	visit_v2_dose3	1.3464102337795825	0.34793806469736593	3.8696836316276015	0.0001089766741990549
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	intercept	7.6364165687458465	0.20901255954260123	36.535682762113545	3.010063621442268e-292
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	visit_v2	0.14822333606418747	0.18698736193507046	0.7926917334426943	0.4279574477581204
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	dose1	-0.7704340409282932	0.2955883964114609	-2.606442100845678	0.009148829004767354
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	dose2	-0.08497921308486858	0.2920482879111512	-0.290976583676195	0.7710692285346983
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	dose3	0.13627546334795781	0.2994524610206742	0.4550821285070332	0.6490501546892797
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	visit_v2_dose1	1.0486760485833746	0.26444006324094377	3.965647397489376	7.319700204716601e-05
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	visit_v2_dose2	0.3531598813877592	0.2612730021280354	1.3516891470275034	0.17647477839296388
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	visit_v2_dose3	0.7161080655179484	0.2678969428141362	2.6730729286999586	0.007515990886780085
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	intercept	3.523011509253448	0.6313489419645186	5.580133702752668	2.4033377052063057e-08
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	visit_v2	0.7840438471067124	0.4422741164458217	1.7727554427272418	0.07626923962846083
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	dose1	-0.16930543577989635	0.892862236316126	-0.18962100634744755	0.8496061251685042
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	dose2	-0.9878994842632476	0.8821688896531253	-1.1198530075705755	0.2627764063447442
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	dose3	-1.6760426042745618	0.9045341334884686	-1.8529346126615007	0.06389173128106415
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	visit_v2_dose1	-1.435310313855019	0.6254700537642571	-2.2947706372461996	0.021746272224562536
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	visit_v2_dose2	0.10045696413067352	0.6179791242118747	0.16255721301069673	0.8708670778604947
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	visit_v2_dose3	-0.6489452501567641	0.6336464799305567	-1.0241440151737038	0.30576725737081534
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	mixedlm_powell	intercept	7.641480912135298	0.5060236266627435	15.10103582026659	1.5940939580927026e-51
