model_id	model_family	contrast_type	contrast_label	previous_4vHPV_doses	antigen_target	antigen_class	feature	assay_family	outcome_family	maximum_floor_severity	fit_method	estimate_log2	standard_error	ci95_lower	ci95_upper	test_statistic	p_value	ratio_effect	ratio_ci95_lower	ratio_ci95_upper	bh_family	q_value	fdr_significant_0_05	phase2B1_mean_log2_change	phase2B1_p_value	phase2B1_q_value	effect_difference	effect_direction_agreement
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose0_v2_minus_v1	0	BPV	heterologous_control_antigen	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	-0.4065962078318939	0.48390448547636167	-1.3550315713229484	0.5418391556591606	-0.8402406260641198	0.40077348410069125	0.7544011561776134	0.39092626660700686	1.4558272315179321	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	0.48092818092082956	no	-0.4065962078318978	0.5122550450829726	0.6015559675106739	3.941291737419306e-15	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose1_v2_minus_v1	1	BPV	heterologous_control_antigen	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	1.3126559816079526	0.4839044854763612	0.364220618116899	2.2610913450990062	2.712634457842974	0.006675069492236389	2.4839841735560793	1.2871860698083932	4.7935395815739	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	0.020025208476709168	yes	1.3126559816079524	0.0134540033389772	0.0459988434520598	2.220446049250313e-16	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose2_v2_minus_v1	2	BPV	heterologous_control_antigen	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	0.28126692051984803	0.47224242267650324	-0.6443112198980396	1.2068450609377357	0.5955985888047213	0.5514434196379667	1.2152616129841016	0.6397981740078102	2.308322918056174	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	0.6015746396050546	no	0.281266920519847	0.5514263035514511	0.6015559675106739	1.0547118733938987e-15	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose3_v2_minus_v1	3	BPV	heterologous_control_antigen	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	0.7355696741351188	0.4964755265756514	-0.23750447715871648	1.708643825428954	1.4815829477206566	0.13845129907700315	1.665054816531419	0.8482112499452041	3.268534274019095	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	0.23734508413200542	no	0.7355696741351183	0.083451413718027	0.1430595663737606	4.440892098500626e-16	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose0_v2_minus_v1	0	BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	-0.07999961351112807	0.4565753625591052	-0.9748708803552917	0.8148716533330356	-0.17521666754581366	0.860909388118696	0.9460579001684867	0.508785379754526	1.7591416461358027	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	0.8609093881186961	no	-0.0799996135111291	0.8185175594598537	0.8185175594598538	1.0269562977782698e-15	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose1_v2_minus_v1	1	BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	0.42828536522350935	0.4565753625591085	-0.4665859016206608	1.3231566320676795	0.9380387124328533	0.34822451588544523	1.3456333486107506	0.7236751304136274	2.502129799401055	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	0.464299354513927	no	0.4282853652235089	0.3451488237458134	0.4601984316610846	4.440892098500626e-16	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose2_v2_minus_v1	2	BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	2.553112093133762	0.44557192962793696	1.6798071585409902	3.426417027726534	5.729966192586842	1.0045065248631517e-08	5.868989362053743	3.203851230907597	10.75113469677002	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	1.205407829835782e-07	yes	2.5531120931337616	0.0004324737709018	0.005189685250822	4.440892098500626e-16	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose3_v2_minus_v1	3	BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	0.9653363567008679	0.4684364380810758	0.04721780901573225	1.8834549043860036	2.060762737961452	0.039325680980356735	1.9525186878721004	1.0332703725656018	3.6895756693611625	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	0.09438163435285615	no	0.9653363567008676	0.0328358148455719	0.0788059556293726	3.3306690738754696e-16	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose0_v2_minus_v1	0	BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	0.3682205383472616	0.3522087131223621	-0.32209585441376815	1.0585369311082913	1.045461184315837	0.2958098713566193	1.290759788055156	0.7999069797742036	2.082818218351444	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	0.44371480703492894	no	0.3682205383472614	0.3270173807402508	0.4601984316610846	2.220446049250313e-16	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose1_v2_minus_v1	1	BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	0.6327174168822416	0.35220871312236285	-0.05759897587878948	1.3230338096432726	1.7964274968473752	0.07242655401510296	1.5504826872830118	0.960861916410853	2.5019167921069205	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	0.14485310803020593	no	0.6327174168822417	0.0750772601320697	0.1430595663737606	-1.1102230246251565e-16	yes
