analysis_context	context_label	antigen_group	antigen_group_label	antigen_target	total_effects	raw_fdr_significant_effects	claim_ready_effects	qualified_effects	claim_ready_features	claim_ready_axes	median_absolute_claim_ready_log2_effect	maximum_absolute_claim_ready_log2_effect	top_claim_ready_feature	top_claim_ready_axis	top_claim_ready_effect_log2	top_claim_ready_q_value	top_claim_ready_priority_score
heterologous_2vHPV_recall	Heterologous 2vHPV recall	cross_reactive_type	Cross-reactive HPV31/33/45/52/58	HPV31	33	32	26	6	FcgR2A, FcgR2B, FcgR3A, IgA1, IgG, IgG1, IgG2, IgG3, IgG4, IgM	Binding-antibody abundance, Fc-receptor communication, IgG subclass architecture	3.4488853720835646	7.458074143004342	IgG3	IgG subclass architecture	7.458074143004342	1.387675826573715e-06	21.31578612009405
heterologous_2vHPV_recall	Heterologous 2vHPV recall	cross_reactive_type	Cross-reactive HPV31/33/45/52/58	HPV33	33	20	10	10	FcgR2A, FcgR3A, IgG, IgG1, IgG3	Binding-antibody abundance, Fc-receptor communication, IgG subclass architecture	2.323729103885528	3.6298339111919606	FcgR3A	Fc-receptor communication	3.574388881722844	1.0632366290515537e-05	16.547758951861017
heterologous_2vHPV_recall	Heterologous 2vHPV recall	cross_reactive_type	Cross-reactive HPV31/33/45/52/58	HPV45	33	24	14	10	FcgR2A, FcgR2B, FcgR3A, IgG, IgG1, IgG2	Binding-antibody abundance, Fc-receptor communication, IgG subclass architecture	3.8207956725037207	6.018662477327074	FcgR3A	Fc-receptor communication	5.7771702456410985	1.6668843604306274e-07	20.555264773808823
heterologous_2vHPV_recall	Heterologous 2vHPV recall	cross_reactive_type	Cross-reactive HPV31/33/45/52/58	HPV52	33	24	20	4	FcgR2A, FcgR2B, FcgR3A, IgG, IgG1, IgG2, IgG3, IgG4	Binding-antibody abundance, Fc-receptor communication, IgG subclass architecture	3.841749585805081	6.216801706450782	IgG3	IgG subclass architecture	6.216801706450782	4.60750911786394e-06	19.55333550312742
heterologous_2vHPV_recall	Heterologous 2vHPV recall	cross_reactive_type	Cross-reactive HPV31/33/45/52/58	HPV58	33	26	19	7	FcgR2A, FcgR2B, FcgR3A, IgG, IgG1, IgG2, IgG3, IgG4	Binding-antibody abundance, Fc-receptor communication, IgG subclass architecture	3.665671163616598	6.358503677251621	FcgR3A	Fc-receptor communication	6.358503677251621	5.987224594016586e-07	20.581278127455263
heterologous_2vHPV_recall	Heterologous 2vHPV recall	vaccine_type	Vaccine-type HPV16/18	HPV16	39	26	12	14	ADCP, IgA2, IgG2, IgG3, IgG4, IgM, nAb	Binding-antibody abundance, IgG subclass architecture, Neutralizing-antibody function, Phagocyte-directed Fc effector function	2.489773607283124	5.75	nAb	Neutralizing-antibody function	5.75	5.589934478487331e-09	20.00259328259625
heterologous_2vHPV_recall	Heterologous 2vHPV recall	vaccine_type	Vaccine-type HPV16/18	HPV18	39	35	16	19	ADCP, IgA2, IgG, IgG1, IgG2, IgG3, IgG4, IgM, nAb	Binding-antibody abundance, IgG subclass architecture, Neutralizing-antibody function, Phagocyte-directed Fc effector function	2.279322059774225	6.1	nAb	Neutralizing-antibody function	5.157894736842105	5.314191828098369e-13	23.432457509616743
heterologous_bpv_control	Heterologous BPV control	heterologous_control	Heterologous BPV control	BPV	44	10	0	0									
primary_2vHPV_induction	Primary 2vHPV induction	cross_reactive_type	Cross-reactive HPV31/33/45/52/58	HPV31	11	7	5	2	FcgR2B, FcgR3A, IgG, IgG1, IgM	Binding-antibody abundance, Fc-receptor communication, IgG subclass architecture	2.0160363294119827	2.3336024071487924	IgM	Binding-antibody abundance	1.5753647784969116	0.0003536864227442	13.026746389986794
primary_2vHPV_induction	Primary 2vHPV induction	cross_reactive_type	Cross-reactive HPV31/33/45/52/58	HPV33	11	3	1	2	IgA2	Binding-antibody abundance	2.555031063246548	2.555031063246548	IgA2	Binding-antibody abundance	2.555031063246548	0.0027408215645134	13.117150300625577
primary_2vHPV_induction	Primary 2vHPV induction	cross_reactive_type	Cross-reactive HPV31/33/45/52/58	HPV45	11	5	3	2	IgG, IgG1, IgM	Binding-antibody abundance, IgG subclass architecture	1.167879910523734	1.1725152600167807	IgG1	IgG subclass architecture	1.1725152600167807	0.0324164345712648	10.66175001419206
primary_2vHPV_induction	Primary 2vHPV induction	cross_reactive_type	Cross-reactive HPV31/33/45/52/58	HPV52	11	2	1	1	IgA2	Binding-antibody abundance	3.571645274820687	3.571645274820687	IgA2	Binding-antibody abundance	3.571645274820687	0.0002494718632155	15.17462370417719
primary_2vHPV_induction	Primary 2vHPV induction	cross_reactive_type	Cross-reactive HPV31/33/45/52/58	HPV58	11	4	1	3	IgG	Binding-antibody abundance	0.7339207789043733	0.7339207789043733	IgG	Binding-antibody abundance	0.7339207789043733	0.0387229974226183	10.145951811628578
primary_2vHPV_induction	Primary 2vHPV induction	vaccine_type	Vaccine-type HPV16/18	HPV16	13	10	10	0	ADCP, FcgR2B, FcgR3A, IgA1, IgA2, IgG, IgG1, IgG3, IgM, nAb	Binding-antibody abundance, Fc-receptor communication, IgG subclass architecture, Neutralizing-antibody function, Phagocyte-directed Fc effector function	6.201178493249397	9.639142316027357	IgA2	Binding-antibody abundance	9.639142316027357	1.4126044431410598e-10	27.489121748100168
primary_2vHPV_induction	Primary 2vHPV induction	vaccine_type	Vaccine-type HPV16/18	HPV18	13	10	10	0	ADCP, FcgR2B, FcgR3A, IgA1, IgA2, IgG, IgG1, IgG3, IgM, nAb	Binding-antibody abundance, Fc-receptor communication, IgG subclass architecture, Neutralizing-antibody function, Phagocyte-directed Fc effector function	3.763319059963851	5.806649541396817	IgG1	IgG subclass architecture	3.767649968659086	4.966374258827252e-09	20.07161052439926
