analysis_context	antigen_group	antigen_target	previous_4vHPV_doses	feature	outcome_family	mechanistic_axis	raw_effect_log2	raw_geometric_mean_ratio	raw_q_value	floor_status	bpv_status	method_status	evidence_grade	claim_readiness	interpretation_guardrail	biological_summary
heterologous_2vHPV_recall	vaccine_type	HPV18	1	IgG3	IgG subclass architecture	IgG subclass architecture	3.9800401241197214	15.780162142405128	3.6602458748545193e-06	not_required	attenuated_after_bpv_calibration	not_applicable	B2_attenuated_after_bpv_calibration	qualified_claim_only	Do not describe the raw response as independently HPV-specific.	Heterologous 2vHPV recall: HPV18 IgG3 increased by 3.98 log2 units (15.78-fold; q=3.66e-06); floor=not_required; BPV calibration=attenuated_after_bpv_calibration.
heterologous_2vHPV_recall	cross_reactive_type	HPV45	2	FcgR2B	Fc-receptor engagement	Fc-receptor communication	4.684634540440045	25.71671639037044	7.501696109642757e-06	supported	attenuated_after_bpv_calibration	not_applicable	B2_attenuated_after_bpv_calibration	qualified_claim_only	Do not describe the raw response as independently HPV-specific.	Heterologous 2vHPV recall: HPV45 FcgR2B increased by 4.68 log2 units (25.72-fold; q=7.5e-06); floor=supported; BPV calibration=attenuated_after_bpv_calibration.
heterologous_2vHPV_recall	cross_reactive_type	HPV58	2	FcgR2B	Fc-receptor engagement	Fc-receptor communication	3.0726422716416044	8.41312786922495	1.178699203387199e-05	not_required	attenuated_after_bpv_calibration	not_applicable	B2_attenuated_after_bpv_calibration	qualified_claim_only	Do not describe the raw response as independently HPV-specific.	Heterologous 2vHPV recall: HPV58 FcgR2B increased by 3.07 log2 units (8.41-fold; q=1.18e-05); floor=not_required; BPV calibration=attenuated_after_bpv_calibration.
heterologous_2vHPV_recall	vaccine_type	HPV16	1	IgG3	IgG subclass architecture	IgG subclass architecture	3.907183967574015	15.00305055941613	1.212837582278719e-05	not_required	attenuated_after_bpv_calibration	not_applicable	B2_attenuated_after_bpv_calibration	qualified_claim_only	Do not describe the raw response as independently HPV-specific.	Heterologous 2vHPV recall: HPV16 IgG3 increased by 3.91 log2 units (15.00-fold; q=1.21e-05); floor=not_required; BPV calibration=attenuated_after_bpv_calibration.
heterologous_2vHPV_recall	cross_reactive_type	HPV52	2	FcgR2B	Fc-receptor engagement	Fc-receptor communication	3.817029098287597	14.09419425455021	2.517322797282496e-05	supported	attenuated_after_bpv_calibration	not_applicable	B2_attenuated_after_bpv_calibration	qualified_claim_only	Do not describe the raw response as independently HPV-specific.	Heterologous 2vHPV recall: HPV52 FcgR2B increased by 3.82 log2 units (14.09-fold; q=2.52e-05); floor=supported; BPV calibration=attenuated_after_bpv_calibration.
heterologous_2vHPV_recall	vaccine_type	HPV18	2	IgA1	Antibody abundance	Binding-antibody abundance	1.8801186087905928	3.681053221772092	7.797819115255337e-05	not_required	attenuated_after_bpv_calibration	not_applicable	B2_attenuated_after_bpv_calibration	qualified_claim_only	Do not describe the raw response as independently HPV-specific.	Heterologous 2vHPV recall: HPV18 IgA1 increased by 1.88 log2 units (3.68-fold; q=7.8e-05); floor=not_required; BPV calibration=attenuated_after_bpv_calibration.
heterologous_2vHPV_recall	vaccine_type	HPV18	2	IgG2	IgG subclass architecture	IgG subclass architecture	2.534977917207841	5.795679905240921	0.0001144154293916	not_required	attenuated_after_bpv_calibration	not_applicable	B2_attenuated_after_bpv_calibration	qualified_claim_only	Do not describe the raw response as independently HPV-specific.	Heterologous 2vHPV recall: HPV18 IgG2 increased by 2.53 log2 units (5.80-fold; q=0.000114); floor=not_required; BPV calibration=attenuated_after_bpv_calibration.
heterologous_2vHPV_recall	cross_reactive_type	HPV45	1	IgG3	IgG subclass architecture	IgG subclass architecture	3.216928631153975	9.298052882325932	0.0001640902848054	not_required	attenuated_after_bpv_calibration	not_applicable	B2_attenuated_after_bpv_calibration	qualified_claim_only	Do not describe the raw response as independently HPV-specific.	Heterologous 2vHPV recall: HPV45 IgG3 increased by 3.22 log2 units (9.30-fold; q=0.000164); floor=not_required; BPV calibration=attenuated_after_bpv_calibration.
heterologous_2vHPV_recall	vaccine_type	HPV18	1	IgA1	Antibody abundance	Binding-antibody abundance	2.3867239275244474	5.229684551926209	0.0002577991201859	not_required	attenuated_after_bpv_calibration	not_applicable	B2_attenuated_after_bpv_calibration	qualified_claim_only	Do not describe the raw response as independently HPV-specific.	Heterologous 2vHPV recall: HPV18 IgA1 increased by 2.39 log2 units (5.23-fold; q=0.000258); floor=not_required; BPV calibration=attenuated_after_bpv_calibration.
heterologous_2vHPV_recall	cross_reactive_type	HPV31	2	FcgR2B	Fc-receptor engagement	Fc-receptor communication	3.344916208583576	10.16061771668998	0.0004486440086586	supported	attenuated_after_bpv_calibration	not_applicable	B2_attenuated_after_bpv_calibration	qualified_claim_only	Do not describe the raw response as independently HPV-specific.	Heterologous 2vHPV recall: HPV31 FcgR2B increased by 3.34 log2 units (10.16-fold; q=0.000449); floor=supported; BPV calibration=attenuated_after_bpv_calibration.
