analysis_context	antigen_group	antigen_target	previous_4vHPV_doses	feature	outcome_family	mechanistic_axis	raw_effect_log2	raw_geometric_mean_ratio	raw_q_value	maximum_floor_severity	floor_status	bpv_status	method_status	evidence_grade	claim_readiness	evidence_priority_score	interpretation_guardrail	biological_summary
heterologous_2vHPV_recall	cross_reactive_type	HPV31	1	IgG	Antibody abundance	Binding-antibody abundance	5.041652973623409	32.93735895293997	3.20790980495952e-08	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	20.535430824659365	May support a primary HPV-associated systems-serology claim.	Heterologous 2vHPV recall: HPV31 IgG increased by 5.04 log2 units (32.94-fold; q=3.21e-08); floor=not_required; BPV calibration=bpv_calibrated_supported.
heterologous_2vHPV_recall	cross_reactive_type	HPV45	1	IgG	Antibody abundance	Binding-antibody abundance	4.49560184411158	22.55854078825004	2.4235059686695084e-08	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	20.11115775046046	May support a primary HPV-associated systems-serology claim.	Heterologous 2vHPV recall: HPV45 IgG increased by 4.50 log2 units (22.56-fold; q=2.42e-08); floor=not_required; BPV calibration=bpv_calibrated_supported.
heterologous_2vHPV_recall	cross_reactive_type	HPV58	1	IgG	Antibody abundance	Binding-antibody abundance	4.338625600943137	20.232821302971097	3.080257277010637e-08	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	19.85003860868956	May support a primary HPV-associated systems-serology claim.	Heterologous 2vHPV recall: HPV58 IgG increased by 4.34 log2 units (20.23-fold; q=3.08e-08); floor=not_required; BPV calibration=bpv_calibrated_supported.
heterologous_2vHPV_recall	cross_reactive_type	HPV58	1	FcgR3A	Fc-receptor engagement	Fc-receptor communication	6.358503677251621	82.05410907916908	5.987224594016586e-07	high	supported	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	20.581278127455263	May support a primary HPV-associated systems-serology claim.	Heterologous 2vHPV recall: HPV58 FcgR3A increased by 6.36 log2 units (82.05-fold; q=5.99e-07); floor=supported; BPV calibration=bpv_calibrated_supported.
heterologous_2vHPV_recall	cross_reactive_type	HPV45	2	FcgR3A	Fc-receptor engagement	Fc-receptor communication	5.7771702456410985	54.84051619417462	1.6668843604306274e-07	high	supported	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	20.555264773808823	May support a primary HPV-associated systems-serology claim.	Heterologous 2vHPV recall: HPV45 FcgR3A increased by 5.78 log2 units (54.84-fold; q=1.67e-07); floor=supported; BPV calibration=bpv_calibrated_supported.
heterologous_2vHPV_recall	cross_reactive_type	HPV45	1	FcgR3A	Fc-receptor engagement	Fc-receptor communication	6.018662477327074	64.83327190447967	3.432737748205612e-06	high	supported	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	19.483021851547026	May support a primary HPV-associated systems-serology claim.	Heterologous 2vHPV recall: HPV45 FcgR3A increased by 6.02 log2 units (64.83-fold; q=3.43e-06); floor=supported; BPV calibration=bpv_calibrated_supported.
heterologous_2vHPV_recall	cross_reactive_type	HPV31	1	IgG3	IgG subclass architecture	IgG subclass architecture	7.458074143004342	175.83447413462383	1.387675826573715e-06	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	21.31578612009405	May support a primary HPV-associated systems-serology claim.	Heterologous 2vHPV recall: HPV31 IgG3 increased by 7.46 log2 units (175.83-fold; q=1.39e-06); floor=not_required; BPV calibration=bpv_calibrated_supported.
heterologous_2vHPV_recall	cross_reactive_type	HPV45	1	IgG1	IgG subclass architecture	IgG subclass architecture	4.309510923357007	19.828600122514043	3.173612398521058e-08	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	19.80795703920615	May support a primary HPV-associated systems-serology claim.	Heterologous 2vHPV recall: HPV45 IgG1 increased by 4.31 log2 units (19.83-fold; q=3.17e-08); floor=not_required; BPV calibration=bpv_calibrated_supported.
heterologous_2vHPV_recall	cross_reactive_type	HPV31	2	IgG3	IgG subclass architecture	IgG subclass architecture	5.821540565135869	56.55334936777776	1.6135324138200912e-06	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	19.61376287088289	May support a primary HPV-associated systems-serology claim.	Heterologous 2vHPV recall: HPV31 IgG3 increased by 5.82 log2 units (56.55-fold; q=1.61e-06); floor=not_required; BPV calibration=bpv_calibrated_supported.
heterologous_2vHPV_recall	vaccine_type	HPV18	1	IgA2	Antibody abundance	Binding-antibody abundance	4.752425889451458	26.953970262918894	0.0004611873872784	high	supported	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	16.08854846791096	May support a primary HPV-associated systems-serology claim.	Heterologous 2vHPV recall: HPV18 IgA2 increased by 4.75 log2 units (26.95-fold; q=0.000461); floor=supported; BPV calibration=bpv_calibrated_supported.
