matrix_type	mechanistic_axis	analysis_stratum	metric	participants	mean	standard_deviation	median	first_quartile	third_quartile	minimum	maximum
bpv_calibrated_log2_change	binding_antibody_abundance	primary_dose0	mean_cross_reactive_score	20	0.8161793142625807	1.0533110300531614	0.9762167526109315	0.06919102907979077	1.6133854657956748	-1.0472749820203158	2.470634039030174
bpv_calibrated_log2_change	binding_antibody_abundance	primary_dose0	median_cross_reactive_score	20	0.6837377941236281	1.0326306994979635	0.629955506912651	-0.03920454151130802	1.2542435478425036	-1.265983108818121	2.552108900189949
bpv_calibrated_log2_change	binding_antibody_abundance	primary_dose0	minimum_cross_reactive_score	20	-0.830487742996939	1.2810134226129168	-0.7690880590433689	-1.5346118560622988	0.23708837031073077	-3.336993421554146	1.4548123628719476
bpv_calibrated_log2_change	binding_antibody_abundance	primary_dose0	positive_antigen_count	20	3.45	1.5035046776746235	4.0	2.0	5.0	1.0	5.0
bpv_calibrated_log2_change	binding_antibody_abundance	primary_dose0	twofold_antigen_count	20	2.1	1.5525869752736798	2.0	1.0	3.0	0.0	5.0
bpv_calibrated_log2_change	binding_antibody_abundance	primary_dose0	positive_antigen_fraction	20	0.6900000000000002	0.3007009355349247	0.8	0.4	1.0	0.2	1.0
bpv_calibrated_log2_change	binding_antibody_abundance	primary_dose0	twofold_antigen_fraction	20	0.42000000000000004	0.31051739505473597	0.4	0.2	0.6	0.0	1.0
bpv_calibrated_log2_change	binding_antibody_abundance	recall_all_doses	mean_cross_reactive_score	60	1.2729947936214183	1.3982998759457483	1.176268495388618	0.46092011882657125	1.9200162124379954	-2.773694754690382	5.968766090367586
bpv_calibrated_log2_change	binding_antibody_abundance	recall_all_doses	median_cross_reactive_score	60	0.9732258509803307	1.3838287155932583	0.770594878910647	0.23255723711995258	1.7356463330349212	-2.876447600281134	5.39564688158265
bpv_calibrated_log2_change	binding_antibody_abundance	recall_all_doses	minimum_cross_reactive_score	60	-0.2759406553560045	1.3570930332063087	-0.3112818184695922	-1.1825048441064954	0.47094920513062355	-4.162715446764325	4.226372718747093
bpv_calibrated_log2_change	binding_antibody_abundance	recall_all_doses	positive_antigen_count	60	3.6166666666666667	1.391154461037047	4.0	3.0	5.0	0.0	5.0
bpv_calibrated_log2_change	binding_antibody_abundance	recall_all_doses	twofold_antigen_count	60	2.433333333333333	1.6194440002842014	2.0	1.0	4.0	0.0	5.0
bpv_calibrated_log2_change	binding_antibody_abundance	recall_all_doses	positive_antigen_fraction	60	0.7233333333333333	0.27823089220740943	0.8	0.6	1.0	0.0	1.0
bpv_calibrated_log2_change	binding_antibody_abundance	recall_all_doses	twofold_antigen_fraction	60	0.48666666666666664	0.3238888000568403	0.4	0.2	0.8	0.0	1.0
bpv_calibrated_log2_change	binding_antibody_abundance	recall_dose1	mean_cross_reactive_score	20	1.8533651714569355	1.6294910175518094	1.3683562414580215	0.707902333329288	2.4054325451989906	-0.4116169475724135	5.968766090367586
bpv_calibrated_log2_change	binding_antibody_abundance	recall_dose1	median_cross_reactive_score	20	1.553263052934674	1.5998624430231332	1.1694723814819883	0.6333318721848108	2.2136155393003514	-0.4984705212100662	5.39564688158265
bpv_calibrated_log2_change	binding_antibody_abundance	recall_dose1	minimum_cross_reactive_score	20	0.20249372812714314	1.4884286857905413	-0.07833930119733323	-0.8548345006773812	0.6993551935538236	-1.8314758591123605	4.226372718747093
bpv_calibrated_log2_change	binding_antibody_abundance	recall_dose1	positive_antigen_count	20	3.95	1.3562719801759993	4.5	3.0	5.0	1.0	5.0
