analysis_type	mechanistic_axis	metric	comparison	raw_effect	bpv_calibrated_effect	raw_q_value	bpv_calibrated_q_value	bpv_calibration_status	evidence_grade	claim_readiness	biological_interpretation
primary_vs_recall	global_shared_serology	median_cross_reactive_score		1.8125669917653449	1.3696059498521076	1.0253147710138338e-07	6.415973963714021e-05	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater global shared systems-serology, with the median response across five cross-reactive HPV types higher by 1.370 log2-score units than primary induction after matched BPV calibration (BH q=6.42e-05).
primary_vs_recall	global_shared_serology	mean_cross_reactive_score		1.8633548828015976	1.1324717873450694	7.818192348617192e-07	0.0002083532804172	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater global shared systems-serology, with the mean response across five cross-reactive HPV types higher by 1.132 log2-score units than primary induction after matched BPV calibration (BH q=0.000208).
primary_vs_recall	igg_subclass_architecture	median_cross_reactive_score		1.8895203283517432	1.965454280648704	1.1426783915138175e-07	0.0002083532804172	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater IgG-subclass architecture, with the median response across five cross-reactive HPV types higher by 1.965 log2-score units than primary induction after matched BPV calibration (BH q=0.000208).
primary_vs_recall	igg_subclass_architecture	mean_cross_reactive_score		1.9318881393355276	1.8355285304092717	1.0253147710138338e-07	0.0003890767423023	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater IgG-subclass architecture, with the mean response across five cross-reactive HPV types higher by 1.836 log2-score units than primary induction after matched BPV calibration (BH q=0.000389).
primary_vs_recall	fc_receptor_communication	mean_cross_reactive_score		3.7111360669452544	2.6170639581123427	1.8632653134653477e-06	0.0008074739710621	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater Fc-receptor communication, with the mean response across five cross-reactive HPV types higher by 2.617 log2-score units than primary induction after matched BPV calibration (BH q=0.000807).
primary_vs_recall	fc_receptor_communication	median_cross_reactive_score		3.591299648765198	2.0158281812929597	9.436724200213924e-07	0.0008074739710621	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater Fc-receptor communication, with the median response across five cross-reactive HPV types higher by 2.016 log2-score units than primary induction after matched BPV calibration (BH q=0.000807).
primary_vs_recall	global_shared_serology	twofold_antigen_count		4.0	3.0	1.0253147710138338e-07	0.001146017910855	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater global shared systems-serology, with the number of cross-reactive HPV types exceeding a twofold response higher by 3.0 additional cross-reactive HPV types than primary induction after matched BPV calibration (BH q=0.00115).
primary_vs_recall	igg_subclass_architecture	twofold_antigen_count		3.0	3.0	1.0253147710138338e-07	0.0016131551147123	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater IgG-subclass architecture, with the number of cross-reactive HPV types exceeding a twofold response higher by 3.0 additional cross-reactive HPV types than primary induction after matched BPV calibration (BH q=0.00161).
primary_vs_recall	global_shared_serology	positive_antigen_count		1.0	1.5	3.434585341847459e-07	0.0016767831072502	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater global shared systems-serology, with the number of cross-reactive HPV types with positive response higher by 1.5 additional cross-reactive HPV types than primary induction after matched BPV calibration (BH q=0.00168).
primary_vs_recall	global_shared_serology	minimum_cross_reactive_score		1.3326653887081394	0.834873653520064	3.408742578824959e-07	0.0029941403835564	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater global shared systems-serology, with the minimum response retained across the five HPV types higher by 0.835 log2-score units than primary induction after matched BPV calibration (BH q=0.00299).
primary_vs_recall	fc_receptor_communication	minimum_cross_reactive_score		1.96114127391862	1.641510791321803	1.7142318966790762e-06	0.0033917947817154	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater Fc-receptor communication, with the minimum response retained across the five HPV types higher by 1.642 log2-score units than primary induction after matched BPV calibration (BH q=0.00339).
primary_vs_recall	fc_receptor_communication	twofold_antigen_count		5.0	3.0	1.9614754979423506e-06	0.0033917947817154	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater Fc-receptor communication, with the number of cross-reactive HPV types exceeding a twofold response higher by 3.0 additional cross-reactive HPV types than primary induction after matched BPV calibration (BH q=0.00339).
primary_vs_recall	igg_subclass_architecture	positive_antigen_count		1.5	2.0	6.690540866234121e-05	0.007313111220124	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater IgG-subclass architecture, with the number of cross-reactive HPV types with positive response higher by 2.0 additional cross-reactive HPV types than primary induction after matched BPV calibration (BH q=0.00731).
primary_vs_recall	fc_receptor_communication	positive_antigen_count		2.0	2.0	1.0253147710138338e-07	0.0073512743985778	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater Fc-receptor communication, with the number of cross-reactive HPV types with positive response higher by 2.0 additional cross-reactive HPV types than primary induction after matched BPV calibration (BH q=0.00735).
primary_vs_recall	igg_subclass_architecture	cross_antigen_standard_deviation		0.4978706978680188	0.4978706978680192	0.0195238840420578	0.0208254763115283	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater IgG-subclass architecture, with the between-antigen response heterogeneity higher by 0.498 log2-score units than primary induction after matched BPV calibration (BH q=0.0208).
primary_vs_recall	igg_subclass_architecture	minimum_cross_reactive_score		1.262917708229604	1.0094427010984992	7.051990977553981e-06	0.0242218447619531	supported_raw_and_bpv_calibrated	A1_crossreactive_breadth_supported_raw_and_bpv_calibrated	claim_ready	Heterologous recall showed greater IgG-subclass architecture, with the minimum response retained across the five HPV types higher by 1.009 log2-score units than primary induction after matched BPV calibration (BH q=0.0242).
