analysis_layer	predictor_representation	antigen_target	analysis_stratum	functional_outcome	tested_pairs	estimated_pairs	positive_correlations	negative_correlations	nominal_p_below_0_05	fdr_significant_pairs	median_absolute_rho	maximum_absolute_rho	floor_sensitive_pairs
function_function	raw_functions	HPV16	all_participants	nAb	1	1	1	0	1	1	0.5797293878912826	0.5797293878912826	1
function_function	raw_functions	HPV16	primary_dose0	nAb	1	1	1	0	0	0	0.003039685688432655	0.003039685688432655	1
function_function	raw_functions	HPV16	recall_all_doses	nAb	1	1	1	0	1	1	0.7676879889198578	0.7676879889198578	1
function_function	raw_functions	HPV16	recall_dose1	nAb	1	1	1	0	1	1	0.7512500360057928	0.7512500360057928	1
function_function	raw_functions	HPV16	recall_dose2	nAb	1	1	1	0	1	1	0.8408763601298802	0.8408763601298802	1
function_function	raw_functions	HPV16	recall_dose3	nAb	1	1	1	0	1	1	0.672182466516855	0.672182466516855	1
function_function	raw_functions	HPV18	all_participants	nAb	1	1	1	0	1	1	0.439284376675327	0.439284376675327	1
function_function	raw_functions	HPV18	primary_dose0	nAb	1	1	1	0	0	0	0.17157635414353578	0.17157635414353578	1
function_function	raw_functions	HPV18	recall_all_doses	nAb	1	1	1	0	1	1	0.5536412673146913	0.5536412673146913	1
function_function	raw_functions	HPV18	recall_dose1	nAb	1	1	1	0	1	1	0.605846803230478	0.605846803230478	1
function_function	raw_functions	HPV18	recall_dose2	nAb	1	1	1	0	1	1	0.45342710879197257	0.45342710879197257	1
function_function	raw_functions	HPV18	recall_dose3	nAb	1	1	1	0	1	1	0.5185681751101314	0.5185681751101314	1
predictor_function	bpv_calibrated_predictor	HPV16	all_participants	ADCP	6	6	6	0	2	1	0.148300515705579	0.4481247069854665	3
predictor_function	bpv_calibrated_predictor	HPV16	all_participants	nAb	6	6	6	0	2	2	0.19343343350166503	0.2872691015472164	6
predictor_function	bpv_calibrated_predictor	HPV16	primary_dose0	ADCP	6	6	6	0	0	0	0.11804511278195487	0.42105263157894735	3
predictor_function	bpv_calibrated_predictor	HPV16	primary_dose0	nAb	6	6	1	5	1	0	0.2253167016550706	0.44531395335538404	6
predictor_function	bpv_calibrated_predictor	HPV16	recall_all_doses	ADCP	6	6	6	0	2	1	0.18844123367602114	0.5392053348152266	3
predictor_function	bpv_calibrated_predictor	HPV16	recall_all_doses	nAb	6	6	6	0	2	1	0.151090059105506	0.39563413792248014	6
predictor_function	bpv_calibrated_predictor	HPV16	recall_dose1	ADCP	6	6	5	1	0	0	0.23082706766917288	0.3654135338345864	3
predictor_function	bpv_calibrated_predictor	HPV16	recall_dose1	nAb	6	6	2	4	0	0	0.1522190093116576	0.35820692241002017	6
predictor_function	bpv_calibrated_predictor	HPV16	recall_dose2	ADCP	6	6	5	1	1	1	0.23896103896103893	0.6610389610389611	3
predictor_function	bpv_calibrated_predictor	HPV16	recall_dose2	nAb	6	6	5	1	0	0	0.18281347876360005	0.3715347539683936	6
predictor_function	bpv_calibrated_predictor	HPV16	recall_dose3	ADCP	6	6	5	1	1	0	0.262280701754386	0.5368421052631579	3
predictor_function	bpv_calibrated_predictor	HPV16	recall_dose3	nAb	6	6	5	1	2	2	0.4000438161051728	0.672182466516855	6
predictor_function	bpv_calibrated_predictor	HPV18	all_participants	ADCP	6	6	5	1	3	2	0.183216127519925	0.3901078293483357	3
predictor_function	bpv_calibrated_predictor	HPV18	all_participants	nAb	6	6	6	0	0	0	0.0883143035794765	0.15330919820418004	6
predictor_function	bpv_calibrated_predictor	HPV18	primary_dose0	ADCP	6	6	6	0	2	0	0.36766917293233076	0.5278195488721804	3
predictor_function	bpv_calibrated_predictor	HPV18	primary_dose0	nAb	6	6	4	2	2	2	0.13459211780592917	0.5879349735318492	6
predictor_function	bpv_calibrated_predictor	HPV18	recall_all_doses	ADCP	6	6	5	1	3	3	0.207529869408169	0.6047791053070299	3
predictor_function	bpv_calibrated_predictor	HPV18	recall_all_doses	nAb	6	6	6	0	2	2	0.22529916721321896	0.3961090739829362	6
predictor_function	bpv_calibrated_predictor	HPV18	recall_dose1	ADCP	6	6	3	3	0	0	0.31879699248120297	0.4285714285714286	3
predictor_function	bpv_calibrated_predictor	HPV18	recall_dose1	nAb	6	6	4	2	1	0	0.22757120546344833	0.45892895344708706	6
predictor_function	bpv_calibrated_predictor	HPV18	recall_dose2	ADCP	6	6	6	0	2	2	0.30974025974025976	0.6896103896103896	3
predictor_function	bpv_calibrated_predictor	HPV18	recall_dose2	nAb	6	6	6	0	1	0	0.30349299941672003	0.4349736799457877	6
predictor_function	bpv_calibrated_predictor	HPV18	recall_dose3	ADCP	6	6	5	1	1	1	0.2596491228070175	0.6596491228070176	3
predictor_function	bpv_calibrated_predictor	HPV18	recall_dose3	nAb	6	6	5	1	1	0	0.16766426863101425	0.5561323008689927	6
predictor_function	raw_predictor	HPV16	all_participants	ADCP	6	6	6	0	3	3	0.32174194447237775	0.6171354899203001	1
predictor_function	raw_predictor	HPV16	all_participants	nAb	6	6	6	0	5	5	0.3565496415060814	0.551230842782046	6
predictor_function	raw_predictor	HPV16	primary_dose0	ADCP	6	6	5	1	1	0	0.2150375939849624	0.49022556390977434	1
predictor_function	raw_predictor	HPV16	primary_dose0	nAb	6	6	1	5	0	0	0.16756267357485014	0.41035756793840844	6
predictor_function	raw_predictor	HPV16	recall_all_doses	ADCP	6	6	6	0	4	4	0.46865162559977047	0.7062517365934983	1
predictor_function	raw_predictor	HPV16	recall_all_doses	nAb	6	6	6	0	5	5	0.43759194383903277	0.7698138510862964	6
predictor_function	raw_predictor	HPV16	recall_dose1	ADCP	6	6	5	1	3	3	0.3496240601503759	0.7085370941082199	1
predictor_function	raw_predictor	HPV16	recall_dose1	nAb	6	6	6	0	3	3	0.4930078361288015	0.6634022495373735	6
predictor_function	raw_predictor	HPV16	recall_dose2	ADCP	6	6	6	0	4	3	0.4902597402597402	0.5825752650035353	1
predictor_function	raw_predictor	HPV16	recall_dose2	nAb	6	6	6	0	3	3	0.3721911757951929	0.5428608507630062	6
predictor_function	raw_predictor	HPV16	recall_dose3	ADCP	6	6	6	0	2	2	0.3601718389716686	0.8350877192982457	1
predictor_function	raw_predictor	HPV16	recall_dose3	nAb	6	6	6	0	2	2	0.3286937140672515	0.812787435896224	6
predictor_function	raw_predictor	HPV18	all_participants	ADCP	6	6	6	0	5	5	0.3163033286451008	0.5118377871542428	0
predictor_function	raw_predictor	HPV18	all_participants	nAb	6	6	6	0	3	2	0.20562460631176604	0.30441378090050236	6
predictor_function	raw_predictor	HPV18	primary_dose0	ADCP	6	6	6	0	3	2	0.45488721804511273	0.5383458646616541	0
predictor_function	raw_predictor	HPV18	primary_dose0	nAb	6	6	6	0	2	2	0.19940985159348712	0.6824926087042867	6
predictor_function	raw_predictor	HPV18	recall_all_doses	ADCP	6	6	6	0	5	5	0.4021950541817172	0.6984717977215894	0
predictor_function	raw_predictor	HPV18	recall_all_doses	nAb	6	6	6	0	5	5	0.33828631980553936	0.5510813691730502	6
predictor_function	raw_predictor	HPV18	recall_dose1	ADCP	6	6	6	0	2	0	0.2774436090225564	0.5097744360902255	0
predictor_function	raw_predictor	HPV18	recall_dose1	nAb	6	6	6	0	2	1	0.38433406579933455	0.5967591011820209	6
predictor_function	raw_predictor	HPV18	recall_dose2	ADCP	6	6	6	0	4	4	0.5103896103896104	0.7753246753246753	0
predictor_function	raw_predictor	HPV18	recall_dose2	nAb	6	6	6	0	2	0	0.29855011669006337	0.5292179772673751	6
predictor_function	raw_predictor	HPV18	recall_dose3	ADCP	6	6	6	0	3	2	0.4464912280701754	0.6754385964912282	0
predictor_function	raw_predictor	HPV18	recall_dose3	nAb	6	6	6	0	0	0	0.37884795125095294	0.4214511670506369	6
