analysis_layer	predictor_representation	antigen_target	predictor_feature	functional_outcome	feature_pair	pair_maximum_floor_severity	floor_sensitive_pair	recall_dose1_rho	recall_dose1_participants	recall_dose1_q_value	recall_dose2_rho	recall_dose2_participants	recall_dose2_q_value	recall_dose3_rho	recall_dose3_participants	recall_dose3_q_value	weighted_fisher_z_mean	heterogeneity_q	degrees_of_freedom	p_value	i_squared_percent	bh_q_value	fdr_significant
function_function	raw_functions	HPV16	ADCP	nAb	ADCP__nAb	moderate	True	0.7512500360057928	20	0.0001345812985322	0.8408763601298802	21	1.8118253968675796e-06	0.672182466516855	19	0.0016183247380514	1.012925005009567	1.4551565787454028	2	0.48307744847588663	0.0	0.48307744847588663	False
function_function	raw_functions	HPV18	ADCP	nAb	ADCP__nAb	high	True	0.605846803230478	20	0.0046370642797346	0.4534271087919725	21	0.0389791536338852	0.5185681751101314	19	0.0229192248152159	0.5868988935793684	0.40152958901296665	2	0.8181048316768724	0.0	0.8181048316768724	False
predictor_function	bpv_calibrated_predictor	HPV16	FcgR2A	ADCP	FcgR2A__ADCP	moderate	True	0.2436090225563909	20	0.5336045491766053	-0.2142857142857142	21	0.4578968275236765	0.2403508771929824	19	0.378924172995121	0.08295694752324793	2.5140269579007932	2	0.2845024314797837	20.446358233565025	0.6301437185797257	False
predictor_function	bpv_calibrated_predictor	HPV16	FcgR2A	nAb	FcgR2A__nAb	moderate	True	-0.0143888615767238	20	0.951989720506838	-0.2356554358209422	21	0.6297105878155683	0.672182466516855	19	0.0097099484283086	0.16603434020783744	10.255983283281267	2	0.005928454987593047	80.49918818354269	0.035570729925558285	True
predictor_function	bpv_calibrated_predictor	HPV16	FcgR2B	ADCP	FcgR2B__ADCP	high	True	-0.2180451127819548	20	0.5336045491766053	0.3064935064935065	21	0.4578968275236765	-0.4052631578947368	19	0.2555713289511417	-0.09698155527414627	5.117644745237902	2	0.07739583024672697	60.91952256238476	0.4643749814803618	False
predictor_function	bpv_calibrated_predictor	HPV16	FcgR2B	nAb	FcgR2B__nAb	high	True	-0.2128036896347054	20	0.7711261619456812	0.1660747221802183	21	0.6297105878155683	-0.3828083682457662	19	0.1586043091852214	-0.13941276779282444	2.9114899635669222	2	0.23322654963406195	31.30664968702961	0.5374193634138779	False
predictor_function	bpv_calibrated_predictor	HPV16	FcgR3A	ADCP	FcgR3A__ADCP	high	True	0.1218045112781954	20	0.608956622164901	0.161038961038961	21	0.4855791442852288	0.2526315789473684	19	0.378924172995121	0.17915126703474427	0.15978156359257534	2	0.9232171730017563	0.0	0.924260153290084	False
predictor_function	bpv_calibrated_predictor	HPV16	FcgR3A	nAb	FcgR3A__nAb	high	True	-0.1105670415895622	20	0.7711261619456812	0.0656421826799281	21	0.7774103010273425	0.1251837791893738	19	0.6096064673962276	0.025674655622298283	0.5070881686068739	2	0.7760455327442858	0.0	0.7760455327442858	False
predictor_function	bpv_calibrated_predictor	HPV16	IgG	ADCP	IgG__ADCP	none	False	0.1398496240601503	20	0.608956622164901	0.2012987012987012	21	0.4578968275236765	0.2719298245614035	19	0.378924172995121	0.2064669736387618	0.1575233915776073	2	0.924260153290084	0.0	0.924260153290084	False
predictor_function	bpv_calibrated_predictor	HPV16	IgG	nAb	IgG__nAb	moderate	True	-0.1204120521420575	20	0.7711261619456812	0.1470384892030391	21	0.6297105878155683	0.2639744908993316	19	0.3297794521404498	0.0967656097189676	1.3358695082769843	2	0.5127664738408233	0.0	0.769149710761235	False
predictor_function	bpv_calibrated_predictor	HPV16	IgG1	ADCP	IgG1__ADCP	none	False	0.3654135338345864	20	0.5336045491766053	0.2636363636363636	21	0.4578968275236765	0.2140350877192982	19	0.378924172995121	0.29120778118726753	0.2388685039254016	2	0.8874223521789272	0.0	0.924260153290084	False
predictor_function	bpv_calibrated_predictor	HPV16	IgG1	nAb	IgG1__nAb	moderate	True	0.3582069224100201	20	0.7257201408944512	0.1995522353469817	21	0.6297105878155683	0.4172792639645793	19	0.1509677330812381	0.3357479662658541	0.5355356915922818	2	0.7650853782739788	0.0	0.7760455327442858	False
predictor_function	bpv_calibrated_predictor	HPV16	IgG3	ADCP	IgG3__ADCP	low	False	0.2766917293233082	20	0.5336045491766053	0.6610389610389611	21	0.0066241369970793	0.5368421052631579	19	0.1067427114190269	0.5633095634975183	2.30990908288654	2	0.31507185928986287	13.416505661740905	0.6301437185797257	False
predictor_function	bpv_calibrated_predictor	HPV16	IgG3	nAb	IgG3__nAb	moderate	True	0.1840259664812577	20	0.7711261619456812	0.3715347539683936	21	0.5835313301261198	0.6322687977898083	19	0.0110311759886159	0.43355153863615004	2.6282474647003995	2	0.26870968170693893	23.903664823738925	0.5374193634138779	False
predictor_function	bpv_calibrated_predictor	HPV18	FcgR2A	ADCP	FcgR2A__ADCP	moderate	True	-0.1909774436090225	20	0.5039123666430056	0.1649350649350649	21	0.4749415650117899	0.0350877192982456	19	0.8866031221985	0.005310985112335823	1.1525513226563895	2	0.5619875056201507	0.0	0.6743850067441808	False
predictor_function	bpv_calibrated_predictor	HPV18	FcgR2A	nAb	FcgR2A__nAb	high	True	-0.2340083277477721	20	0.5206517170483808	0.2016696152475924	21	0.3806855480521758	0.153005097603166	19	0.782715883902121	0.041072965430103255	2.013443221738064	2	0.36541499053891024	0.6676732471482069	0.8014968785481171	False
predictor_function	bpv_calibrated_predictor	HPV18	FcgR2B	ADCP	FcgR2B__ADCP	high	True	-0.156390977443609	20	0.5102566899029022	0.2506493506493506	21	0.3999366235134455	-0.0456140350877193	19	0.8866031221985	0.023508302001567102	1.6084706766600874	2	0.4474299283010439	0.0	0.6711448924515658	False
