antigen_target	predictor_feature	functional_outcome	relationship	qualification_type	effect_value	q_value	evidence_grade	interpretation_guardrail
HPV16	IgG1	nAb	HPV16 IgG1–nAb coupling	raw_partial_supported_but_not_bpv_stable	0.731967785041836	3.996201622934888e-10	B1_calibration_sensitive_partial_association	The recall association remained significant after adjustment for previous-dose group in the raw HPV representation, but did not meet the combined BPV-stability criterion.
HPV16	IgG1	ADCP	HPV16 IgG1–ADCP coupling	raw_partial_supported_but_not_bpv_stable	0.6965343397327864	7.591273960275948e-09	B1_calibration_sensitive_partial_association	The recall association remained significant after adjustment for previous-dose group in the raw HPV representation, but did not meet the combined BPV-stability criterion.
HPV16	IgG	ADCP	HPV16 IgG–ADCP coupling	raw_partial_supported_but_not_bpv_stable	0.605574616951449	9.49131688941922e-07	B1_calibration_sensitive_partial_association	The recall association remained significant after adjustment for previous-dose group in the raw HPV representation, but did not meet the combined BPV-stability criterion.
HPV16	IgG	nAb	HPV16 IgG–nAb coupling	raw_partial_supported_but_not_bpv_stable	0.609705239145541	1.1322256146682208e-06	B1_calibration_sensitive_partial_association	The recall association remained significant after adjustment for previous-dose group in the raw HPV representation, but did not meet the combined BPV-stability criterion.
HPV18	FcgR3A	ADCP	HPV18 FcgR3A–ADCP coupling	raw_partial_supported_but_not_bpv_stable	0.4692776975887017	0.0004048350055351	B1_calibration_sensitive_partial_association	The recall association remained significant after adjustment for previous-dose group in the raw HPV representation, but did not meet the combined BPV-stability criterion.
HPV16	FcgR3A	nAb	HPV16 FcgR3A–nAb coupling	raw_partial_supported_but_not_bpv_stable	0.3402531900402289	0.0134484448109235	B1_calibration_sensitive_partial_association	The recall association remained significant after adjustment for previous-dose group in the raw HPV representation, but did not meet the combined BPV-stability criterion.
HPV18	FcgR2A	ADCP	HPV18 FcgR2A–ADCP coupling	raw_partial_supported_but_not_bpv_stable	0.3206599114993018	0.0209661287380642	B1_calibration_sensitive_partial_association	The recall association remained significant after adjustment for previous-dose group in the raw HPV representation, but did not meet the combined BPV-stability criterion.
HPV18	FcgR2B	ADCP	HPV18 FcgR2B–ADCP coupling	raw_partial_supported_but_not_bpv_stable	0.3110528897659146	0.0209661287380642	B1_calibration_sensitive_partial_association	The recall association remained significant after adjustment for previous-dose group in the raw HPV representation, but did not meet the combined BPV-stability criterion.
HPV18	FcgR3A	nAb	HPV18 FcgR3A–nAb coupling	raw_partial_supported_but_not_bpv_stable	0.3244022187042171	0.0259553130167716	B1_calibration_sensitive_partial_association	The recall association remained significant after adjustment for previous-dose group in the raw HPV representation, but did not meet the combined BPV-stability criterion.
HPV16	FcgR3A	ADCP	HPV16 FcgR3A–ADCP coupling	raw_partial_supported_but_not_bpv_stable	0.3078706363270288	0.0280806948282178	B1_calibration_sensitive_partial_association	The recall association remained significant after adjustment for previous-dose group in the raw HPV representation, but did not meet the combined BPV-stability criterion.
HPV18	IgG3	nAb	HPV18 IgG3–nAb coupling	raw_partial_supported_but_not_bpv_stable	0.2930339658343634	0.0383874734313061	B1_calibration_sensitive_partial_association	The recall association remained significant after adjustment for previous-dose group in the raw HPV representation, but did not meet the combined BPV-stability criterion.
HPV18	FcgR3A	ADCP	HPV18 FcgR3A–ADCP coupling	bpv_stable_zero_order_not_partial_supported	0.3010836343428731	0.0388105793995579	B2_bpv_stable_zero_order_only	The zero-order relationship was supported in raw and BPV-calibrated analyses, but it did not remain FDR significant after adjustment for previous-dose group.
HPV16	FcgR2A	nAb	HPV16 FcgR2A–nAb coupling	recall_dose_correlation_heterogeneity	80.49918818354269	0.0355707299255582	C1_dose_heterogeneous_coupling	The coupling relationship differed among previous-dose groups and should not be summarized as one homogeneous recall effect.
