matrix_representation	analysis_stratum	participants	principal_component	component_number	centroid_score	median_score	score_standard_deviation
raw_log2_change	primary_dose0	20	PC1	1	-5.745149161070451	-6.174826602011411	3.2244134785661647
raw_log2_change	primary_dose0	20	PC2	2	2.1847210731598707	1.91645025640004	2.5706194208579096
raw_log2_change	primary_dose0	20	PC3	3	-0.09549884909731028	0.924839605750743	2.9668445960760153
raw_log2_change	primary_dose0	20	PC4	4	0.4279482796708492	0.008718169186982677	2.260098190599156
raw_log2_change	primary_dose0	20	PC5	5	0.2800592241469556	0.3995785323203933	2.0373570349650105
raw_log2_change	primary_dose0	20	PC6	6	-0.1598752117547409	-0.1470636662248593	1.4918285241797025
raw_log2_change	primary_dose0	20	PC7	7	-0.3132046621816924	-0.44291647444800153	0.8950936761912733
raw_log2_change	primary_dose0	20	PC8	8	0.3711169747424966	0.19491822274073062	1.625692909296708
raw_log2_change	primary_dose0	20	PC9	9	-0.12212670701742008	0.13191428987184936	2.0470076064288665
raw_log2_change	primary_dose0	20	PC10	10	0.2677591475064769	0.16243521577793288	1.2127331582299603
raw_log2_change	recall_all_doses	60	PC1	1	1.9150497203568173	1.9490130401441617	2.9148586492328374
raw_log2_change	recall_all_doses	60	PC2	2	-0.7282403577199569	-1.1217344855114293	2.823563980810871
raw_log2_change	recall_all_doses	60	PC3	3	0.03183294969910335	0.5858196929405596	2.2673871949094067
raw_log2_change	recall_all_doses	60	PC4	4	-0.14264942655694984	-0.08691805477257782	1.988124084825803
raw_log2_change	recall_all_doses	60	PC5	5	-0.09335307471565173	0.2009698214236489	1.775639168708588
raw_log2_change	recall_all_doses	60	PC6	6	0.05329173725158044	-0.19231599499992225	1.9262202415622185
raw_log2_change	recall_all_doses	60	PC7	7	0.10440155406056416	-0.2286601262043398	1.98322186042488
raw_log2_change	recall_all_doses	60	PC8	8	-0.12370565824749868	0.06399819795695048	1.686819377734717
raw_log2_change	recall_all_doses	60	PC9	9	0.040708902339140395	0.010224103896921768	1.5202229747841502
raw_log2_change	recall_all_doses	60	PC10	10	-0.08925304916882562	-0.01035330506805849	1.6239856623799902
raw_log2_change	recall_dose1	20	PC1	1	3.1441874159505043	4.009858416613865	4.013020844732905
raw_log2_change	recall_dose1	20	PC2	2	1.209282312005294	1.0204624644011284	3.32554273781287
raw_log2_change	recall_dose1	20	PC3	3	-0.13461743290275147	0.7656447965110502	2.56760967167547
raw_log2_change	recall_dose1	20	PC4	4	-0.16731189907795563	-0.15494718627825832	1.72782634519389
raw_log2_change	recall_dose1	20	PC5	5	-0.7103975661021233	-1.0743900256600676	1.6531246680766845
raw_log2_change	recall_dose1	20	PC6	6	0.14168384743805215	0.24085420977002803	2.075361465243473
raw_log2_change	recall_dose1	20	PC7	7	-0.2738043586198997	-0.28328293510562824	1.7217412406141854
raw_log2_change	recall_dose1	20	PC8	8	0.2713149413244701	0.6114329395721276	1.392941675772324
raw_log2_change	recall_dose1	20	PC9	9	0.336197221506179	0.1354336697298323	1.5813726827368286
raw_log2_change	recall_dose1	20	PC10	10	-0.12742321196053027	-0.09043788023467217	2.143001200695535
raw_log2_change	recall_dose2	21	PC1	1	1.544301407845619	1.9724636669202507	1.9402873462919574
raw_log2_change	recall_dose2	21	PC2	2	-1.721279229610725	-1.6618510442196421	1.7745079003560797
raw_log2_change	recall_dose2	21	PC3	3	-0.06974961735497802	0.49098420455826214	2.1022129903763713
raw_log2_change	recall_dose2	21	PC4	4	0.3676832532234999	0.5450600448387933	2.011329788165354
raw_log2_change	recall_dose2	21	PC5	5	0.7378545866368866	0.9814784373575286	1.7949960896094754
raw_log2_change	recall_dose2	21	PC6	6	-0.6257028258184753	-1.1289014671790067	2.0627693065854147
raw_log2_change	recall_dose2	21	PC7	7	0.7252129326279493	0.14554820644771324	2.168079524713188
raw_log2_change	recall_dose2	21	PC8	8	-0.08234925711097472	-0.13430043349283138	1.6368923333235228
raw_log2_change	recall_dose2	21	PC9	9	-0.012492810293057908	-0.05685038663980042	1.2686912276827855
raw_log2_change	recall_dose2	21	PC10	10	-0.12446733142006859	-0.041436649226491845	1.305725026613819
raw_log2_change	recall_dose3	19	PC1	1	1.0309950177705762	0.9986380016900072	2.00082392293116
raw_log2_change	recall_dose3	19	PC2	2	-1.6701686253409513	-1.9204254295629517	2.168324979230622
raw_log2_change	recall_dose3	19	PC3	3	0.31931934760293523	0.703533236456946	2.2027097509976654
raw_log2_change	recall_dose3	19	PC4	4	-0.6807408383974409	-0.5407340583809114	2.16784151642007
raw_log2_change	recall_dose3	19	PC5	5	-0.36253576211953975	0.19174880582130843	1.6013243946748905
raw_log2_change	recall_dose3	19	PC6	6	0.7107150857116714	0.8049932847343315	1.372822406667292
raw_log2_change	recall_dose3	19	PC7	7	-0.18364690363974165	-0.5083262825291125	1.9606025657292965
raw_log2_change	recall_dose3	19	PC8	8	-0.5852265222109923	-0.2514023090312154	1.9751043812586881
raw_log2_change	recall_dose3	19	PC9	9	-0.21152954071689148	-0.05700626965830673	1.7261619143384568
raw_log2_change	recall_dose3	19	PC10	10	-0.010152881636709962	0.03724496580143245	1.3758510640098502
bpv_calibrated_log2_change	primary_dose0	20	PC1	1	-4.565283603440479	-4.6441525823865	2.8853297018449164
bpv_calibrated_log2_change	primary_dose0	20	PC2	2	2.564085096077369	2.4510053883690506	2.145480703137388
bpv_calibrated_log2_change	primary_dose0	20	PC3	3	0.0023875940165303754	0.24578156900197823	2.508946082272289
bpv_calibrated_log2_change	primary_dose0	20	PC4	4	-0.4866854149190162	-0.08135748269721017	2.067544658850808
bpv_calibrated_log2_change	primary_dose0	20	PC5	5	-0.27815746683058906	-0.3045704330114579	2.1776875672145546
bpv_calibrated_log2_change	primary_dose0	20	PC6	6	-0.022271130127449145	-0.1458336661512542	1.8473393159830862
bpv_calibrated_log2_change	primary_dose0	20	PC7	7	0.12357689354357686	0.25354146191365007	1.8010120767973898
bpv_calibrated_log2_change	primary_dose0	20	PC8	8	0.27753369170564535	0.13012768388302365	1.5057896890745723
bpv_calibrated_log2_change	primary_dose0	20	PC9	9	0.07710072586490793	0.6205106661412312	1.910887652916751
bpv_calibrated_log2_change	primary_dose0	20	PC10	10	0.04768793760731317	0.49967189204034096	1.2200026897092615
bpv_calibrated_log2_change	recall_all_doses	60	PC1	1	1.5217612011468264	1.4246474530634816	2.5451249695665203
bpv_calibrated_log2_change	recall_all_doses	60	PC2	2	-0.8546950320257896	-1.0858949261737174	2.902321636919429
bpv_calibrated_log2_change	recall_all_doses	60	PC3	3	-0.0007958646721771749	-0.2794578950463954	2.382746812303605
bpv_calibrated_log2_change	recall_all_doses	60	PC4	4	0.16222847163967227	0.31888169853173987	2.3676741876136527
bpv_calibrated_log2_change	recall_all_doses	60	PC5	5	0.09271915561019652	0.20930051379492592	1.9336744958319207
bpv_calibrated_log2_change	recall_all_doses	60	PC6	6	0.007423710042483072	-0.28033626503023157	1.971725919834873
bpv_calibrated_log2_change	recall_all_doses	60	PC7	7	-0.04119229784785879	0.34466463344043125	1.8451625491887613
bpv_calibrated_log2_change	recall_all_doses	60	PC8	8	-0.09251123056854829	-0.31417980765299636	1.8564302134536084
bpv_calibrated_log2_change	recall_all_doses	60	PC9	9	-0.025700241954969377	0.010921655688494085	1.6287548981656366
bpv_calibrated_log2_change	recall_all_doses	60	PC10	10	-0.015895979202437797	0.14165690148837407	1.6897996766358654
