matrix_representation	principal_component	component_number	loading_direction	loading_rank	feature_column	antigen_target	assay_feature	feature_family	loading	absolute_loading	contribution_percent
raw_log2_change	PC1	1	highest_loading	1	HPV52__IgG	HPV52	IgG	binding_antibody_abundance	0.19056462197952023	0.19056462197952023	3.631487515019745
raw_log2_change	PC1	1	highest_loading	2	HPV52__IgG1	HPV52	IgG1	igg_subclass_architecture	0.18650781051868892	0.18650781051868892	3.4785163384475166
raw_log2_change	PC1	1	highest_loading	3	HPV45__IgG1	HPV45	IgG1	igg_subclass_architecture	0.18551643357581307	0.18551643357581307	3.441634712668906
raw_log2_change	PC1	1	highest_loading	4	HPV45__IgG	HPV45	IgG	binding_antibody_abundance	0.18467361276501354	0.18467361276501354	3.410434325168217
raw_log2_change	PC1	1	highest_loading	5	HPV58__IgG1	HPV58	IgG1	igg_subclass_architecture	0.18385988494251762	0.18385988494251762	3.380445729107582
raw_log2_change	PC1	1	highest_loading	6	HPV58__IgG	HPV58	IgG	binding_antibody_abundance	0.180629892357611	0.180629892357611	3.262715801312214
raw_log2_change	PC1	1	highest_loading	7	HPV52__FcgR3A	HPV52	FcgR3A	fc_receptor_communication	0.18048404759921272	0.18048404759921272	3.257449143779488
raw_log2_change	PC1	1	highest_loading	8	HPV58__FcgR3A	HPV58	FcgR3A	fc_receptor_communication	0.17997623228125925	0.17997623228125925	3.239144418615778
raw_log2_change	PC1	1	highest_loading	9	HPV45__FcgR3A	HPV45	FcgR3A	fc_receptor_communication	0.17257472621624387	0.17257472621624387	2.978203612861153
raw_log2_change	PC1	1	highest_loading	10	HPV52__IgG3	HPV52	IgG3	igg_subclass_architecture	0.15895569601894952	0.15895569601894952	2.5266913296868685
raw_log2_change	PC1	1	lowest_loading	1	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	-0.1578331471122942	0.1578331471122942	2.4911302327371105
raw_log2_change	PC1	1	lowest_loading	2	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	-0.15739024504671376	0.15739024504671376	2.4771689235864605
raw_log2_change	PC1	1	lowest_loading	3	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	-0.1561822061240449	0.1561822061240449	2.4392881509773647
raw_log2_change	PC1	1	lowest_loading	4	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	-0.13295250392321725	0.13295250392321725	1.7676368299453098
raw_log2_change	PC1	1	lowest_loading	5	HPV16__IgA1	HPV16	IgA1	binding_antibody_abundance	-0.1077848461375706	0.1077848461375706	1.1617573056899766
raw_log2_change	PC1	1	lowest_loading	6	HPV16__IgA2	HPV16	IgA2	binding_antibody_abundance	-0.09953457082991295	0.09953457082991295	0.9907130790294958
raw_log2_change	PC1	1	lowest_loading	7	HPV16__IgM	HPV16	IgM	binding_antibody_abundance	-0.08549539095942597	0.08549539095942597	0.7309461875305097
raw_log2_change	PC1	1	lowest_loading	8	HPV16__IgG3	HPV16	IgG3	igg_subclass_architecture	-0.05687135495275963	0.05687135495275963	0.32343510141627774
raw_log2_change	PC1	1	lowest_loading	9	HPV18__IgG1	HPV18	IgG1	igg_subclass_architecture	-0.052775432244190096	0.052775432244190096	0.27852462485610996
raw_log2_change	PC1	1	lowest_loading	10	HPV18__IgA1	HPV18	IgA1	binding_antibody_abundance	-0.04620215720921754	0.04620215720921754	0.21346393307852524
raw_log2_change	PC10	10	highest_loading	1	HPV45__IgA2	HPV45	IgA2	binding_antibody_abundance	0.3252734550195119	0.3252734550195119	10.580282054033043
raw_log2_change	PC10	10	highest_loading	2	BPV__IgG2	BPV	IgG2	igg_subclass_architecture	0.2610273255741254	0.2610273255741254	6.813526469638045
raw_log2_change	PC10	10	highest_loading	3	BPV__IgA2	BPV	IgA2	binding_antibody_abundance	0.24780932414454215	0.24780932414454215	6.140946113297476
raw_log2_change	PC10	10	highest_loading	4	BPV__IgA1	BPV	IgA1	binding_antibody_abundance	0.2472389750203584	0.2472389750203584	6.112711076911741
raw_log2_change	PC10	10	highest_loading	5	HPV58__IgG4	HPV58	IgG4	igg_subclass_architecture	0.22508743666495026	0.22508743666495026	5.066435414439799
raw_log2_change	PC10	10	highest_loading	6	HPV52__IgM	HPV52	IgM	binding_antibody_abundance	0.20161277210128392	0.20161277210128392	4.064770987436425
raw_log2_change	PC10	10	highest_loading	7	HPV33__FcgR3A	HPV33	FcgR3A	fc_receptor_communication	0.15400545450620887	0.15400545450620887	2.3717680017663967
raw_log2_change	PC10	10	highest_loading	8	HPV16__IgA1	HPV16	IgA1	binding_antibody_abundance	0.14842595982793516	0.14842595982793516	2.2030265550843824
raw_log2_change	PC10	10	highest_loading	9	HPV16__IgA2	HPV16	IgA2	binding_antibody_abundance	0.13471767601282744	0.13471767601282744	1.8148852230297143
raw_log2_change	PC10	10	highest_loading	10	HPV52__FcgR2B	HPV52	FcgR2B	fc_receptor_communication	0.12860673039979278	0.12860673039979278	1.6539691104124985
raw_log2_change	PC10	10	lowest_loading	1	HPV45__IgG2	HPV45	IgG2	igg_subclass_architecture	-0.2556328026332643	0.2556328026332643	6.534812978213747
raw_log2_change	PC10	10	lowest_loading	2	HPV45__IgM	HPV45	IgM	binding_antibody_abundance	-0.2022608827450457	0.2022608827450457	4.090946468880512
raw_log2_change	PC10	10	lowest_loading	3	HPV18__IgA2	HPV18	IgA2	binding_antibody_abundance	-0.15971569450769546	0.15971569450769546	2.5509103072075505
raw_log2_change	PC10	10	lowest_loading	4	HPV33__IgG2	HPV33	IgG2	igg_subclass_architecture	-0.13575207816660936	0.13575207816660936	1.8428626726553217
raw_log2_change	PC10	10	lowest_loading	5	HPV18__IgG3	HPV18	IgG3	igg_subclass_architecture	-0.134266950974638	0.134266950974638	1.8027614124025846
raw_log2_change	PC10	10	lowest_loading	6	HPV45__IgA1	HPV45	IgA1	binding_antibody_abundance	-0.11770882764325068	0.11770882764325068	1.3855368105148493
raw_log2_change	PC10	10	lowest_loading	7	HPV33__IgM	HPV33	IgM	binding_antibody_abundance	-0.11272140759844915	0.11272140759844915	1.270611573097571
raw_log2_change	PC10	10	lowest_loading	8	HPV18__IgG2	HPV18	IgG2	igg_subclass_architecture	-0.10743742345780535	0.10743742345780535	1.1542799959251784
raw_log2_change	PC10	10	lowest_loading	9	HPV18__IgA1	HPV18	IgA1	binding_antibody_abundance	-0.09965883655583069	0.09965883655583069	0.9931883703661776
raw_log2_change	PC10	10	lowest_loading	10	HPV31__IgG2	HPV31	IgG2	igg_subclass_architecture	-0.09897907707013265	0.09897907707013265	0.9796857697655259
raw_log2_change	PC2	2	highest_loading	1	HPV18__IgG	HPV18	IgG	binding_antibody_abundance	0.2719276768306137	0.2719276768306137	7.394466142649468
raw_log2_change	PC2	2	highest_loading	2	HPV18__IgG1	HPV18	IgG1	igg_subclass_architecture	0.2694673076272781	0.2694673076272781	7.261262987989412
raw_log2_change	PC2	2	highest_loading	3	HPV16__IgM	HPV16	IgM	binding_antibody_abundance	0.22568116282711723	0.22568116282711723	5.093198725499979
raw_log2_change	PC2	2	highest_loading	4	HPV16__nAb	HPV16	nAb	neutralization	0.22063250795932124	0.22063250795932124	4.867870356841995
