matrix_representation	principal_component	component_number	explained_variance	explained_variance_ratio	explained_variance_percent	cumulative_variance_ratio	cumulative_variance_percent
raw_log2_change	PC1	1	19.987434970065316	0.21453904383629913	21.45390438362991	0.21453904383629913	21.45390438362991
raw_log2_change	PC2	2	9.154583089469176	0.09826250870490022	9.826250870490021	0.31280155254119935	31.280155254119933
raw_log2_change	PC3	3	5.959569720247135	0.06396820759504404	6.396820759504404	0.3767697601362434	37.67697601362434
raw_log2_change	PC4	4	4.242305875320644	0.045535620129121095	4.553562012912109	0.4223053802653645	42.23053802653645
raw_log2_change	PC5	5	3.3794680282824117	0.03627418128183571	3.627418128183571	0.45857956154720025	45.85795615472003
raw_log2_change	PC6	6	3.314889082392837	0.035581010531118805	3.5581010531118804	0.49416057207831904	49.416057207831905
raw_log2_change	PC7	7	3.1632348516964233	0.03395320017445893	3.395320017445893	0.528113772252778	52.8113772252778
raw_log2_change	PC8	8	2.8071345571668416	0.030130927991328903	3.0130927991328904	0.5582447002441069	55.82447002441069
raw_log2_change	PC9	9	2.7388087329180513	0.029397539388658463	2.9397539388658465	0.5876422396327653	58.76422396327653
raw_log2_change	PC10	10	2.3475698055986403	0.02519809981552891	2.519809981552891	0.6128403394482942	61.28403394482942
raw_log2_change	PC11	11	2.216043961404804	0.023786341433557026	2.378634143355703	0.6366266808818513	63.66266808818513
raw_log2_change	PC12	12	2.0039665012750345	0.02150996652183803	2.150996652183803	0.6581366474036893	65.81366474036892
raw_log2_change	PC13	13	1.9349555845602362	0.02076922434514386	2.076922434514386	0.6789058717488331	67.89058717488331
raw_log2_change	PC14	14	1.8436754710791603	0.019789451387942095	1.9789451387942094	0.6986953231367752	69.86953231367752
raw_log2_change	PC15	15	1.6380864239129855	0.017582721126239945	1.7582721126239944	0.7162780442630151	71.62780442630151
raw_log2_change	PC16	16	1.5374081995305655	0.01650207170691777	1.6502071706917771	0.7327801159699329	73.27801159699328
raw_log2_change	PC17	17	1.4226395222051502	0.01527017965410421	1.527017965410421	0.7480502956240371	74.80502956240372
raw_log2_change	PC18	18	1.3767644346654688	0.014777770426436434	1.4777770426436434	0.7628280660504736	76.28280660504736
raw_log2_change	PC19	19	1.3097017294366835	0.014057939758899199	1.4057939758899198	0.7768860058093728	77.68860058093729
raw_log2_change	PC20	20	1.1856988317367159	0.012726930395000089	1.272693039500009	0.7896129362043729	78.96129362043729
raw_log2_change	PC21	21	1.1458436203624582	0.012299136685955748	1.2299136685955747	0.8019120728903286	80.19120728903286
raw_log2_change	PC22	22	1.1270000383004013	0.012096875411104864	1.2096875411104864	0.8140089483014334	81.40089483014334
raw_log2_change	PC23	23	1.028952734224077	0.011044465489633446	1.1044465489633446	0.8250534137910669	82.5053413791067
raw_log2_change	PC24	24	1.0130469841386038	0.010873738009096438	1.0873738009096439	0.8359271518001633	83.59271518001633
raw_log2_change	PC25	25	0.992740629579893	0.010655775779458102	1.06557757794581	0.8465829275796214	84.65829275796214
raw_log2_change	PC26	26	0.9683089662401069	0.010393533740892462	1.0393533740892462	0.8569764613205139	85.69764613205139
raw_log2_change	PC27	27	0.8007617909013122	0.00859513335342442	0.859513335342442	0.8655715946739383	86.55715946739383
raw_log2_change	PC28	28	0.7954959849043742	0.008538611794489896	0.8538611794489895	0.8741102064684282	87.41102064684281
raw_log2_change	PC29	29	0.7182545907602197	0.007709526177996932	0.7709526177996932	0.8818197326464251	88.18197326464251
raw_log2_change	PC30	30	0.6921470898700666	0.007429296209203168	0.7429296209203168	0.8892490288556283	88.92490288556283
raw_log2_change	PC31	31	0.6801092244217043	0.007300085425178627	0.7300085425178627	0.896549114280807	89.6549114280807
raw_log2_change	PC32	32	0.6133926213365467	0.006583969712715658	0.6583969712715657	0.9031330839935227	90.31330839935227
raw_log2_change	PC33	33	0.6030046280840516	0.0064724681547065396	0.647246815470654	0.9096055521482292	90.96055521482292
raw_log2_change	PC34	34	0.5449498320073666	0.005849325642470381	0.5849325642470381	0.9154548777906997	91.54548777906997
raw_log2_change	PC35	35	0.5194085283112496	0.005575173062036517	0.5575173062036517	0.9210300508527361	92.10300508527361
raw_log2_change	PC36	36	0.5049063286405686	0.00541951086448437	0.541951086448437	0.9264495617172205	92.64495617172204
raw_log2_change	PC37	37	0.46266868434499586	0.004966144845550912	0.49661448455509116	0.9314157065627714	93.14157065627714
raw_log2_change	PC38	38	0.43311988200778195	0.004648976994377012	0.4648976994377012	0.9360646835571484	93.60646835571484
raw_log2_change	PC39	39	0.421405469434388	0.0045232380550702025	0.4523238055070202	0.9405879216122186	94.05879216122186
raw_log2_change	PC40	40	0.40590782979022916	0.004356891107802736	0.4356891107802736	0.9449448127200213	94.49448127200213
raw_log2_change	PC41	41	0.38768877037781263	0.004161333269000983	0.41613332690009824	0.9491061459890223	94.91061459890223
raw_log2_change	PC42	42	0.36104250362475343	0.0038753203514070044	0.38753203514070045	0.9529814663404294	95.29814663404294
raw_log2_change	PC43	43	0.3395996832919859	0.003645159644030831	0.3645159644030831	0.9566266259844601	95.66266259844602
raw_log2_change	PC44	44	0.32429058041789577	0.003480836393072526	0.3480836393072526	0.9601074623775326	96.01074623775327
raw_log2_change	PC45	45	0.30592174977532394	0.0032836709554688336	0.32836709554688337	0.9633911333330015	96.33911333330015
raw_log2_change	PC46	46	0.27056384944127093	0.00290415001438321	0.290415001438321	0.9662952833473847	96.62952833473847
raw_log2_change	PC47	47	0.26169570974196205	0.0028089621018498674	0.2808962101849867	0.9691042454492346	96.91042454492346
raw_log2_change	PC48	48	0.23909105856125348	0.0025663306557525876	0.2566330655752588	0.9716705761049872	97.16705761049872
raw_log2_change	PC49	49	0.22334363253245818	0.002397302577454377	0.23973025774543769	0.9740678786824416	97.40678786824417
raw_log2_change	PC50	50	0.2162122668458907	0.0023207566685904055	0.23207566685904055	0.976388635351032	97.6388635351032
raw_log2_change	PC51	51	0.20708179081427508	0.0022227529177075746	0.22227529177075744	0.9786113882687396	97.86113882687395
raw_log2_change	PC52	52	0.20301133022721485	0.002179061832601901	0.2179061832601901	0.9807904501013415	98.07904501013415
raw_log2_change	PC53	53	0.18575784521049948	0.001993868175493135	0.1993868175493135	0.9827843182768347	98.27843182768346
raw_log2_change	PC54	54	0.16090633658372494	0.0017271196453959624	0.17271196453959625	0.9845114379222306	98.45114379222306
raw_log2_change	PC55	55	0.14561490245140066	0.0015629860453343293	0.15629860453343294	0.986074423967565	98.6074423967565
raw_log2_change	PC56	56	0.13830124478839678	0.0014844834698754562	0.1484483469875456	0.9875589074374405	98.75589074374405
raw_log2_change	PC57	57	0.13447084359545555	0.001443369109244701	0.1443369109244701	0.9890022765466852	98.90022765466851
raw_log2_change	PC58	58	0.12402285129775428	0.0013312235397449183	0.13312235397449185	0.9903335000864301	99.03335000864301
raw_log2_change	PC59	59	0.11065481541017451	0.0011877351110602984	0.11877351110602984	0.9915212351974904	99.15212351974904
raw_log2_change	PC60	60	0.1011737534489257	0.0010859682775088504	0.10859682775088504	0.9926072034749992	99.26072034749993
raw_log2_change	PC61	61	0.09813559745710025	0.0010533576357487674	0.10533576357487674	0.993660561110748	99.3660561110748
raw_log2_change	PC62	62	0.08704331292265355	0.0009342964294687008	0.09342964294687008	0.9945948575402167	99.45948575402167
raw_log2_change	PC63	63	0.07115414447918395	0.0007637469312303719	0.0763746931230372	0.9953586044714471	99.53586044714471
raw_log2_change	PC64	64	0.06743152152456147	0.0007237894294076578	0.07237894294076579	0.9960823939008547	99.60823939008547
raw_log2_change	PC65	65	0.05857432128827367	0.0006287189377409817	0.06287189377409817	0.9967111128385957	99.67111128385957
raw_log2_change	PC66	66	0.057731904817272355	0.0006196766957288751	0.06196766957288751	0.9973307895343245	99.73307895343245
raw_log2_change	PC67	67	0.04892375173243611	0.000525132661258486	0.0525132661258486	0.9978559221955831	99.78559221955831
raw_log2_change	PC68	68	0.041192946225380216	0.0004421525477995979	0.044215254779959794	0.9982980747433826	99.82980747433827
raw_log2_change	PC69	69	0.034304979310154325	0.0003682192072693199	0.03682192072693199	0.998666293950652	99.8666293950652
raw_log2_change	PC70	70	0.029499524605240142	0.00031663891899646383	0.031663891899646385	0.9989829328696485	99.89829328696484
raw_log2_change	PC71	71	0.022776832928952193	0.00024447959257978605	0.024447959257978606	0.9992274124622282	99.92274124622283
raw_log2_change	PC72	72	0.018113058740373555	0.00019442005984911853	0.019442005984911852	0.9994218325220774	99.94218325220774
raw_log2_change	PC73	73	0.013783506514581056	0.00014794796394726963	0.014794796394726964	0.9995697804860246	99.95697804860247
raw_log2_change	PC74	74	0.011687348438812133	0.0001254484411231195	0.012544844112311949	0.9996952289271478	99.96952289271478
raw_log2_change	PC75	75	0.010118405721536312	0.00010860788750018608	0.010860788750018608	0.999803836814648	99.9803836814648
raw_log2_change	PC76	76	0.007058764034175525	7.57666248233515e-05	0.00757666248233515	0.9998796034394714	99.98796034394714
raw_log2_change	PC77	77	0.006358369047222298	6.824879819708724e-05	0.006824879819708724	0.9999478522376685	99.99478522376684
raw_log2_change	PC78	78	0.003349959021097344	3.595744057971338e-05	0.003595744057971338	0.9999838096782482	99.99838096782482
raw_log2_change	PC79	79	0.0015083641531192982	1.6190321752231614e-05	0.0016190321752231614	1.0000000000000004	100.00000000000004
bpv_calibrated_log2_change	PC1	1	13.875204362105938	0.1779449910075275	17.794499100752752	0.1779449910075275	17.794499100752752
bpv_calibrated_log2_change	PC2	2	9.617269710526193	0.1233383615473327	12.33383615473327	0.3012833525548602	30.12833525548602
bpv_calibrated_log2_change	PC3	3	5.754088738840692	0.0737943198650024	7.37943198650024	0.3750776724198626	37.507767241986265
bpv_calibrated_log2_change	PC4	4	5.294726561466641	0.06790314908374429	6.7903149083744285	0.4429808215036069	44.29808215036069
