matrix_representation	reference_principal_component	reference_component_number	bootstrap_replicates	median_absolute_loading_correlation	loading_correlation_2_5_percentile	loading_correlation_97_5_percentile	proportion_loading_correlation_ge_0_80	proportion_loading_correlation_ge_0_90	median_absolute_variance_ratio_difference	matched_bootstrap_component_mode	unique_matched_bootstrap_components
raw_log2_change	PC1	1	300	0.9710284791126543	0.9208138686750676	0.9857682970470615	1.0	0.9866666666666667	0.015972806537074086	1	1
raw_log2_change	PC2	2	300	0.8837827021704326	0.6703489299116894	0.9520156103939724	0.85	0.37	0.010078170974229174	2	2
raw_log2_change	PC3	3	300	0.8259152534863325	0.5489388544947301	0.9345827864318517	0.6033333333333334	0.13	0.007427568339869649	3	4
raw_log2_change	PC4	4	300	0.6780077929204302	0.22611253355979521	0.8808401837428871	0.18666666666666668	0.01	0.009955197631282931	4	4
raw_log2_change	PC5	5	300	0.3995367097999959	0.03798768704989696	0.7619398124171098	0.006666666666666667	0.0	0.012480487690934416	5	3
bpv_calibrated_log2_change	PC1	1	300	0.9481522543484497	0.651309252262407	0.9795931576719281	0.9366666666666666	0.8233333333333334	0.015855505932517014	1	2
bpv_calibrated_log2_change	PC2	2	300	0.8853810459980492	0.5595413909041677	0.9626748253158239	0.8	0.4266666666666667	0.011059991903292474	2	5
bpv_calibrated_log2_change	PC3	3	300	0.78175261829845	0.4654224470725424	0.9402560318811924	0.44666666666666666	0.14666666666666667	0.01055973294251298	3	4
bpv_calibrated_log2_change	PC4	4	300	0.7317215085585762	0.2930083418777	0.919635239049058	0.31333333333333335	0.06666666666666667	0.00989320209453666	4	4
bpv_calibrated_log2_change	PC5	5	300	0.520736172294206	0.03902689410319936	0.841056781648641	0.04666666666666667	0.0	0.010452706540574706	5	3
