matrix_representation	cluster_count	cluster_label	participants	primary_participants	recall_participants	recall_fraction	dose0_participants	dose1_participants	dose2_participants	dose3_participants	mean_PC1_score	mean_PC2_score
raw_log2_change	2	1	61	2	59	0.9672131147540983	2	19	21	19	2.0181441223731476	-0.6859956972284433
raw_log2_change	2	2	19	18	1	0.05263157894736842	18	1	0	0	-6.479304813934842	2.2024072384702658
raw_log2_change	3	1	26	1	25	0.9615384615384616	1	13	8	4	4.185378849052366	1.6211827203913107
raw_log2_change	3	2	19	18	1	0.05263157894736842	18	1	0	0	-6.479304813934842	2.2024072384702658
raw_log2_change	3	3	35	1	34	0.9714285714285714	1	6	13	15	0.4081983254114425	-2.399899664603118
raw_log2_change	4	1	12	0	12	1.0	0	9	1	2	5.674677863349735	2.7303972796727733
raw_log2_change	4	2	28	0	28	1.0	0	5	13	10	0.5867377114196622	-2.976239574902737
raw_log2_change	4	3	19	18	1	0.05263157894736842	18	1	0	0	-6.479304813934842	2.2024072384702658
raw_log2_change	4	4	21	2	19	0.9047619047619048	2	5	7	7	1.8372381516578404	0.41543824810801494
raw_log2_change	5	1	21	2	19	0.9047619047619048	2	3	9	7	1.5224341591274257	0.23111824665677433
raw_log2_change	5	2	9	9	0	0.0	9	0	0	0	-6.357616345718519	1.5318029758473801
raw_log2_change	5	3	14	0	14	1.0	0	11	1	2	5.35163215671899	2.4849930565053455
raw_log2_change	5	4	26	0	26	1.0	0	5	11	10	0.623570151116162	-3.1341970577616207
raw_log2_change	5	5	10	9	1	0.1	9	1	0	0	-6.588824435329533	2.805951074830862
raw_log2_change	6	1	24	0	24	1.0	0	5	10	9	0.5821410252856624	-3.2750854397656846
raw_log2_change	6	2	16	2	14	0.875	2	2	5	7	0.5862718357334977	0.4136827554061661
raw_log2_change	6	3	7	7	0	0.0	7	0	0	0	-6.994028056690056	0.9042037348414869
raw_log2_change	6	4	18	0	18	1.0	0	10	6	2	4.956649931039333	0.9456074726976659
raw_log2_change	6	5	4	1	3	0.75	1	2	0	1	1.914191827380932	4.7019386622581285
raw_log2_change	6	6	11	10	1	0.09090909090909091	10	1	0	0	-6.47909124090847	2.7113646514906247
bpv_calibrated_log2_change	2	1	21	19	2	0.09523809523809523	19	1	0	1	-4.803330616291701	2.3360301805958863
bpv_calibrated_log2_change	2	2	59	1	58	0.9830508474576272	1	19	21	18	1.7096600498665375	-0.8314683693646375
bpv_calibrated_log2_change	3	1	19	18	1	0.05263157894736842	18	1	0	0	-5.199418838907009	2.2489953168626418
bpv_calibrated_log2_change	3	2	19	2	17	0.8947368421052632	2	10	5	2	3.9717068013342094	2.823629193305291
bpv_calibrated_log2_change	3	3	42	0	42	1.0	0	9	16	17	0.5553935408067423	-2.294758706980732
bpv_calibrated_log2_change	4	1	15	2	13	0.8666666666666667	2	8	3	2	4.026020486391407	3.4422336633035147
bpv_calibrated_log2_change	4	2	22	0	22	1.0	0	5	6	11	0.2270060108107483	-3.0172096894293645
bpv_calibrated_log2_change	4	3	19	18	1	0.05263157894736842	18	1	0	0	-5.199418838907009	2.2489953168626418
bpv_calibrated_log2_change	4	4	24	0	24	1.0	0	6	12	6	1.3918549335635657	-1.1660751167707044
bpv_calibrated_log2_change	5	1	13	0	13	1.0	0	3	3	7	1.0823746461586732	-3.61944793340111
bpv_calibrated_log2_change	5	2	20	1	19	0.95	1	3	9	7	1.3902723179100231	-0.6053287254941013
bpv_calibrated_log2_change	5	3	16	0	16	1.0	0	5	7	4	-0.05745454846320626	-1.763416189334373
bpv_calibrated_log2_change	5	4	13	2	11	0.8461538461538461	2	8	2	1	4.32379523204086	3.644036808953145
bpv_calibrated_log2_change	5	5	18	17	1	0.05555555555555555	17	1	0	0	-5.398132333299062	2.222309897614196
bpv_calibrated_log2_change	6	1	18	17	1	0.05555555555555555	17	1	0	0	-4.836188773401807	2.423421632385539
bpv_calibrated_log2_change	6	2	10	0	10	1.0	0	3	6	1	2.6137299629324016	-0.5466283026592029
bpv_calibrated_log2_change	6	3	17	0	17	1.0	0	4	8	5	0.08074655655181495	-1.628586459019615
bpv_calibrated_log2_change	6	4	19	0	19	1.0	0	4	4	11	0.5730873448766931	-3.2216927968430227
bpv_calibrated_log2_change	6	5	15	2	13	0.8666666666666667	2	8	3	2	4.026020486391407	3.4422336633035147
bpv_calibrated_log2_change	6	6	1	1	0	0.0	1	0	0	0	-11.73756001800062	-0.8906783625495073
