matrix_representation	omitted_feature_family	reference_principal_component	reference_component_number	matched_reduced_principal_component	matched_reduced_component_number	retained_features	absolute_loading_correlation	sign_aligned_score_correlation	reference_explained_variance_ratio	reduced_explained_variance_ratio	absolute_variance_ratio_difference
raw_log2_change	binding_antibody_abundance	PC1	1	PC1	1	60	0.9982470647570306	0.9902750242724682	0.21453904383629913	0.24939357867963105	0.034854534843331925
raw_log2_change	binding_antibody_abundance	PC2	2	PC2	2	60	0.9328789340273685	0.8910340143129969	0.09826250870490022	0.09399967863262512	0.004262830072275098
raw_log2_change	binding_antibody_abundance	PC3	3	PC3	3	60	0.9411328131507878	0.8892276717476896	0.06396820759504404	0.08756868246446058	0.023600474869416535
raw_log2_change	binding_antibody_abundance	PC4	4	PC4	4	60	0.745386990249342	0.5846878264516424	0.045535620129121095	0.05268109408275869	0.007145473953637592
raw_log2_change	binding_antibody_abundance	PC5	5	PC5	5	60	0.6982638685401811	0.5973409950609117	0.03627418128183571	0.047370112678223886	0.011095931396388176
raw_log2_change	fc_receptor_communication	PC1	1	PC1	1	68	0.9956498183515058	0.9655909277315864	0.21453904383629913	0.2046893759730678	0.009849667863231326
raw_log2_change	fc_receptor_communication	PC2	2	PC2	2	68	0.9973274260100761	0.9785661780487331	0.09826250870490022	0.11585632303051474	0.01759381432561452
raw_log2_change	fc_receptor_communication	PC3	3	PC5	5	68	0.0448451418765819	-0.04841351434879773	0.06396820759504404	0.044536091906812805	0.019432115688231236
raw_log2_change	fc_receptor_communication	PC4	4	PC3	3	68	0.9842399399214891	0.955873878099027	0.045535620129121095	0.060013427436058885	0.01447780730693779
raw_log2_change	fc_receptor_communication	PC5	5	PC4	4	68	0.9361953313749803	0.8456322070401305	0.03627418128183571	0.04687323385385859	0.010599052572022878
raw_log2_change	igg_subclass_architecture	PC1	1	PC1	1	60	0.990125927749189	0.95913848716222	0.21453904383629913	0.21563310909529515	0.0010940652589960242
raw_log2_change	igg_subclass_architecture	PC2	2	PC2	2	60	0.9854721148486514	0.9693181509725329	0.09826250870490022	0.11601571854706462	0.0177532098421644
raw_log2_change	igg_subclass_architecture	PC3	3	PC3	3	60	0.9365502703546829	0.8929812087323581	0.06396820759504404	0.07916427699230606	0.015196069397262021
raw_log2_change	igg_subclass_architecture	PC4	4	PC4	4	60	0.9230104932115911	0.8072704446458944	0.045535620129121095	0.05731956700972736	0.011783946880606265
raw_log2_change	igg_subclass_architecture	PC5	5	PC5	5	60	0.3978052735800028	0.41336574916826985	0.03627418128183571	0.04575188381620733	0.009477702534371621
raw_log2_change	neutralization	PC1	1	PC1	1	90	0.9998341114115946	0.9991878288779212	0.21453904383629913	0.2153932496231014	0.0008542057868022868
raw_log2_change	neutralization	PC2	2	PC2	2	90	0.998298126653689	0.995445626256919	0.09826250870490022	0.0945978997408379	0.003664608964062316
raw_log2_change	neutralization	PC3	3	PC3	3	90	0.999860992731311	0.9998051705712663	0.06396820759504404	0.0652646519300201	0.0012964443349760546
raw_log2_change	neutralization	PC4	4	PC4	4	90	0.9988650934800334	0.997179398751042	0.045535620129121095	0.04616493993206586	0.0006293198029447625
raw_log2_change	neutralization	PC5	5	PC5	5	90	0.9732491905009023	0.9736854726506647	0.03627418128183571	0.0368240300238035	0.0005498487419677914
raw_log2_change	phagocytic_function	PC1	1	PC1	1	90	0.9999740274706661	0.999889178484018	0.21453904383629913	0.2189318190075971	0.0043927751712979635
raw_log2_change	phagocytic_function	PC2	2	PC2	2	90	0.9969666558685066	0.9919482808778874	0.09826250870490022	0.0941966225448506	0.004065886160049617
raw_log2_change	phagocytic_function	PC3	3	PC3	3	90	0.998259423366424	0.9965749466465872	0.06396820759504404	0.06485715082164273	0.0008889432265986874
raw_log2_change	phagocytic_function	PC4	4	PC4	4	90	0.9999706996704142	0.9999475769478537	0.045535620129121095	0.0465447270212021	0.001009106892081002
raw_log2_change	phagocytic_function	PC5	5	PC5	5	90	0.587635178086975	0.6080010345022283	0.03627418128183571	0.03658377183005798	0.0003095905482222716
bpv_calibrated_log2_change	binding_antibody_abundance	PC1	1	PC1	1	49	0.9988727438322401	0.9884857321603364	0.1779449910075275	0.20801911243393573	0.030074121426408224
bpv_calibrated_log2_change	binding_antibody_abundance	PC2	2	PC2	2	49	0.8970205590537961	0.804368541740441	0.1233383615473327	0.12755179027482025	0.004213428727487548
bpv_calibrated_log2_change	binding_antibody_abundance	PC3	3	PC3	3	49	0.8527579859981785	0.8298739652311659	0.0737943198650024	0.09848909173484352	0.02469477186984112
bpv_calibrated_log2_change	binding_antibody_abundance	PC4	4	PC4	4	49	0.8937485317139454	0.758540895368735	0.06790314908374429	0.08216013627684723	0.014256987193102949
bpv_calibrated_log2_change	binding_antibody_abundance	PC5	5	PC5	5	49	0.8960902540094673	0.8480844276022637	0.05077501753209928	0.07215486923801201	0.02137985170591273
bpv_calibrated_log2_change	fc_receptor_communication	PC1	1	PC1	1	56	0.9715107419273208	0.9221343479877369	0.1779449910075275	0.17028163054164006	0.007663360465887448
bpv_calibrated_log2_change	fc_receptor_communication	PC2	2	PC2	2	56	0.9544714766562084	0.9095664975192256	0.1233383615473327	0.14255498671452677	0.019216625167194065
bpv_calibrated_log2_change	fc_receptor_communication	PC3	3	PC5	5	56	0.18584170718117504	-0.03485889986527943	0.0737943198650024	0.05987721860602737	0.01391710125897503
bpv_calibrated_log2_change	fc_receptor_communication	PC4	4	PC3	3	56	0.9280510485435666	0.8803880731114719	0.06790314908374429	0.08421822067722998	0.01631507159348569
bpv_calibrated_log2_change	fc_receptor_communication	PC5	5	PC4	4	56	0.8520419912127607	0.6385657039085512	0.05077501753209928	0.07489753521727424	0.02412251768517496
