git_status	relative_path	exists	file_size_bytes	sha256	manifest_note	expected_for_identity_commit
A 	02_dataset_audit/project_identity/phase3D2D_hpv_repository_identity_rebuild_report.md	True	1041	6bbbb09fe3264e07d2db2283dc5fa1eee836db4624b5d2f2a057d61440341a70		True
A 	02_dataset_audit/project_identity/phase3D2E_hpv_dual_license_report.md	True	535	bf04daf878ed68c359a931d8c387e7ccddb0667d96710f443a9c62183eb7083c		True
A 	02_dataset_audit/project_identity/phase3D2F_hpv_identity_precommit_audit_report.md	True	1738	edce9978d822ab7aa2caeebdf7dec621c894e5979425c420841b51978323a7db		True
A 	06_scripts/python/phase3D2D_hpv_repository_identity_rebuild.py	True	22512	8a5420e5d2ec4f99934ca6118f9483bfa22e005566ebd5a165e0f3b801096a07		True
AM	06_scripts/python/phase3D2E_hpv_dual_license_implementation.py	True	14752	f4a25c4cc23e871fb7195a8bfd7cc0eb938035b1885f8e1b28f2634cd192024d		True
AM	06_scripts/python/phase3D2F_hpv_identity_precommit_audit.py	True	25750	f6c6e4b2dd10dbe275b038b49e21107980494bf6366f0f54caf8efd9722fc7cb		True
A 	08_results/tables/phase3D2D_hpv_dependency_inventory.tsv	True	13819	406da5e14c8ddc1c95a48979411856efd5edce1e18b460a8e1df93738a21d739		True
A 	08_results/tables/phase3D2D_hpv_identity_file_manifest.tsv	True	1122	c72525787a41bab13d0219e08885261574a1cde159dda7a01724420db105705c		True
AM	08_results/tables/phase3D2D_hpv_repository_identity_rebuild_decision.tsv	True	748	eccf26ca4b8a678f11c9e79404a03d735ee514731722e14b03ce870c440d1db4		True
AM	08_results/tables/phase3D2E_hpv_dual_license_decision.tsv	True	321	73a1c89b09066b4e44090c9a9c77bb85098a9e65a69b6fdfc3afd5344bd5039f		True
AM	08_results/tables/phase3D2E_hpv_dual_license_file_manifest.tsv	True	897	7bc87e3f50404b03ae9a641e28ab9287a1ba38d437f2500022ebff23595667eb		True
AM	08_results/tables/phase3D2F_hpv_identity_precommit_audit_decision.tsv	True	781	d4997dbe21eb1b5d9241f4b4cf9b0ec46c81ca11b98bc79b63b19d3b468be0e2		True
AM	08_results/tables/phase3D2F_hpv_precommit_staging_manifest.tsv	True			SELF_MANIFEST_HASH_OMITTED	True
A 	CITATION.cff	True	961	09d29a735aef64bdecd5407f4bacfd75749bbcce10696fa7a5e6a9059273aae5		True
A 	DATA_AVAILABILITY.md	True	1351	74dc9c98a7c0bbcbd4cad9abe1c88487ff561b92994196b9ad554969e0a30c28		True
A 	LICENSE	True	1075	87100bf7e574f0a0c679f637e1d16894148c033c661dba165c4f90b8b93bc437		True
A 	LICENSE-CONTENT.md	True	1352	d3c622ba3db3f572640dc07c0115b87ea95e3a2c117bb3cfe580546c4ef014bb		True
M 	README.md	True	4147	a2595aacd7d2ffff23275f8177967f937ab4e01f43f7e1de6019a1724a790735		True
A 	RELEASE_NOTES_v0.1.0-fiji-systems-serology.md	True	1222	1b792e5bae8fca0e739bc000b17f1fd4a348a328e465ae750c775ca90430563f		True
A 	REPOSITORY_METADATA.md	True	961	b2d4c437f8b70495da9204f7f8c6740b24b3b8f1e6b78c3f3b71822af31a6412		True
A 	REPOSITORY_SCOPE.md	True	1601	4a5d180dac953c78d4fce4f624ca25f263e1fa4c60b4a70ddd390f0df4f764dd		True
A 	environment.yml	True	297	7cc743754b3c863b2d4591e2c755e6a50aaf3be0a0dd6a37d2022eb3b01e6aab		True
A 	requirements.txt	True	131	955d90a0ef75f371bbead3eeb493cc2f3bada34d68e3e6c61e3e757e2bf93730		True
